congeniality,effect_type,lucid_pid_3,estimate,std.error,statistic,p.value,conf.low,conf.high,lab
...to Democrats,Misinformation effect,Democrat,3.329584208307648e-4,0.32206349618721863,0.0010338284989529294,0.9991751243491055,-0.6308998948411705,0.6315658116828321,000
...to Democrats,Misinformation effect,Independent,-0.83772133705793,0.7249164572239515,-1.1556108689626965,0.24784036023719794,-2.258531485017245,0.5830888109013852,-.84
...to Democrats,Misinformation effect,Republican,0.23064562028503413,0.3966760919481243,0.5814457310807555,0.5609400837297189,-0.5468252334613882,1.0081164740314565,.23
...to Democrats,Correction effect,Democrat,0.18057110627443895,0.3274353242790388,0.551471062787829,0.5813107981200835,-0.4611903365786705,0.8223325491275484,.18
...to Democrats,Correction effect,Independent,-0.04069154890713576,0.745036180155066,-0.05461687632225665,0.9564436934657657,-1.50093562919036,1.4195525313760884,-.04
...to Democrats,Correction effect,Republican,0.2523676929164701,0.4629878309281438,0.5450849375685597,0.5856951016305995,-0.6550717809830111,1.1598071668159513,.25
...to Republicans,Misinformation effect,Democrat,0.16548545709887102,0.24063728574249169,0.6876966575992659,0.4916438252570056,-0.30615495629388634,0.6371258704916284,.17
...to Republicans,Misinformation effect,Independent,1.9545740139320744,0.6322211284748647,3.0915986921335272,0.001990817912701852,0.7154433718560698,3.1937046560080793,1.95**
...to Republicans,Misinformation effect,Republican,0.32750051770268385,0.3286732960600531,0.9964317808248256,0.3190403978312668,-0.31668730525509037,0.9716883406604581,.33
...to Republicans,Correction effect,Democrat,0.36162499802715575,0.25772092516734396,1.4031650623337804,0.16056762330085636,-0.14349873336318064,0.8667487294174921,.36
...to Republicans,Correction effect,Independent,-1.426711942437938,0.6324470315090461,-2.2558599714409935,0.024079402080793507,-2.666285346324937,-0.1871385385509392,-1.43*
...to Republicans,Correction effect,Republican,-0.2297869150386262,0.32596011109891965,-0.7049540947324453,0.4808388043056949,-0.8686569931891832,0.4090831631119309,-.23
