term2,lucid_pid_3,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,lab
treatmentcontrol,Democrat,Misinformation effect,summary,-1.6037335495909828,0.4647032727070732,-3.4510915755953797,5.58324091851928e-4,-2.5145352275947412,-0.6929318715872245,META,-1.6***
treatmentcontrol,Independent,Misinformation effect,summary,-3.5527682553976994,1.15345581046643,-3.0801078144129725,0.00206925674715219,-5.8135001016703605,-1.2920364091250387,META,-3.55**
treatmentcontrol,Republican,Misinformation effect,summary,0.9099100852036932,0.7026607147853104,1.294949420193081,0.19533767846476885,-0.4672796091266857,2.2870997795340724,META,.91
treatmentfactcheck,Democrat,Correction effect,summary,1.4922125002827882,0.4870445107344114,3.063811350697065,0.00218536669622857,0.5376228003754104,2.4468022001901657,META,1.49**
treatmentfactcheck,Independent,Correction effect,summary,1.8144922293152377,1.1481188293802065,1.580404556464562,0.1140142487674352,-0.4357793262422538,4.064763784872729,META,1.81
treatmentfactcheck,Republican,Correction effect,summary,0.6855553775886333,0.629350384671692,1.089306361425776,0.2760188084317764,-0.5479487100243116,1.919059465201578,META,.69
treatmentcontrol,Overall,Misinformation effect,summary,-0.7360566820138084,0.31233674598953565,-2.356612507061429,0.01844248006858483,-1.348225455201733,-0.1238879088258834,META,-.74*
treatmentfactcheck,Overall,Correction effect,summary,0.7971782184117906,0.35819895317425043,2.2255180015112805,0.02604648403003453,0.09512117089031068,1.4992352659332706,META,.80*
