name,value,treatment,misinfo_type,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Party Affiliation,Democrat,misinformation,Misinformation is a social media post,overall,summary,29.77149557231525,8.009626597989152,3.71696423148983,2.016309761629688e-4,14.072915910642438,45.47007523398806
Party Affiliation,Democrat,misinformation,Misinformation is in article form,overall,summary,38.418326411191025,3.645436117240232,10.538746305140446,5.725707441989997e-26,31.27340291345864,45.56324990892341
Party Affiliation,Democrat,factcheck,Misinformation is a social media post,overall,summary,55.767637807002146,3.353279728162595,16.630774145871694,4.171692299448656e-62,49.1953303097152,62.33994530428909
Party Affiliation,Democrat,factcheck,Misinformation is in article form,overall,summary,61.2537518307478,4.62890562412891,13.232879821842303,5.667352896213321e-40,52.181263519620245,70.32624014187536
Party Affiliation,Republican,misinformation,Misinformation is a social media post,overall,summary,31.45145256927284,9.231409898369886,3.4070042296384915,6.568010919229916e-4,13.358221641941306,49.54468349660437
Party Affiliation,Republican,misinformation,Misinformation is in article form,overall,summary,36.26362639514558,4.539412778508573,7.9886161855190485,1.3646182195264626e-15,27.366540838307884,45.160711951983274
Party Affiliation,Republican,factcheck,Misinformation is a social media post,overall,summary,49.0921645622384,3.999004687177128,12.276095779445622,1.2173241422768296e-34,41.254259401364365,56.93006972311244
Party Affiliation,Republican,factcheck,Misinformation is in article form,overall,summary,52.94070716596515,6.500525275567577,8.144066044161756,3.8222056628700845e-16,40.199911745260394,65.68150258666991
Political interest,high,misinformation,Misinformation is a social media post,overall,summary,27.459205809370793,7.591399410964545,3.6171467634426433,2.9786842589413107e-4,12.58033637162171,42.338075247119875
Political interest,high,misinformation,Misinformation is in article form,overall,summary,29.01825463820527,2.4907039098441497,11.650623955547179,2.27784844067669e-31,24.13656467875764,33.8999445976529
Political interest,high,factcheck,Misinformation is a social media post,overall,summary,43.49784216436621,4.031945961859144,10.788299886913467,3.90954858136394e-27,35.59537329151058,51.40031103722184
Political interest,high,factcheck,Misinformation is in article form,overall,summary,47.055746043319395,5.067180066278939,9.286377319895514,1.596290538465207e-20,37.12425561023339,56.9872364764054
Political interest,low,misinformation,Misinformation is a social media post,overall,summary,31.536631861527795,8.286730742198067,3.8056783600962834,1.4141606111712002e-4,15.294938057238717,47.77832566581687
Political interest,low,misinformation,Misinformation is in article form,overall,summary,43.99084145276878,4.192660841441418,10.492344388544655,9.3674774839362665e-26,35.773377204152204,52.20830570138535
Political interest,low,factcheck,Misinformation is a social media post,overall,summary,58.288593579096926,3.3285117899438124,17.51190840158655,1.1623120953965613e-68,51.764830348690104,64.81235680950374
Political interest,low,factcheck,Misinformation is in article form,overall,summary,66.905500222316,4.767354313944143,14.034094345918989,9.642030363638358e-45,57.561657465443815,76.24934297918817
Cognitive Reflection Test,high,misinformation,Misinformation is a social media post,overall,summary,25.029129256482143,3.5124264452711405,7.125879971146279,1.034178120350155e-12,18.144899925404662,31.913358587559625
Cognitive Reflection Test,high,misinformation,Misinformation is in article form,overall,summary,41.81851851641101,4.193451317562289,9.972339094834346,2.014281639000976e-23,33.59950496306689,50.03753206975513
Cognitive Reflection Test,high,factcheck,Misinformation is a social media post,overall,summary,58.684034472647575,3.8144614592776733,15.384618536363531,2.0759633947103267e-53,51.20782739204724,66.16024155324791
