name,type2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high,rfac,cfac,yint,xlo,xhi,mid,slab
Personality - Agreeableness,treatmentfactcheck,mods,summary,-2.5860529270096966,0.9130347995078816,-2.832370604497833,0.00462042624222511,-4.375568250676893,-0.7965376033425002,"Personality
traits",Correction effects,-4,-13.394319465818812,-8.088785807946113,-10.741552636882464,**
Personality - Conscientiousness,treatmentfactcheck,mods,summary,-2.502401475386589,0.9598361170516354,-2.6071132674954027,0.00913091502724739,-4.383645695868566,-0.6211572549046127,"Personality
traits",Correction effects,-4,-13.00692954028899,-7.970369621299806,-10.488649580794398,**
Cognitive Reflection Test,treatmentfactcheck,mods,summary,-2.232463485785429,0.895917469747559,-2.491818232336139,0.01270910588855526,-3.988429459610898,-0.4764975119599604,"Other
heterogeneity
dimensions",Correction effects,0,-13.412932377894755,-8.848047205772334,-11.130489791833543,*
Personality - Emotional Stability,treatmentfactcheck,mods,summary,-2.561509723363432,0.9221587182588876,-2.7777319377295218,0.00547397570874065,-4.36890759918047,-0.7541118475463939,"Personality
traits",Correction effects,-4,-13.208298601767185,-8.125258132719239,-10.66677836724321,**
Personality - Extraversion,treatmentfactcheck,mods,summary,2.7446055083431142,0.9508158980326148,2.8865793199526086,0.00389454566190086,0.8810405922710811,4.608170424415148,"Personality
traits",Correction effects,-4,-13.36304697543805,-7.857891894701825,-10.610469435069938,**
Need for Cognition,treatmentfactcheck,mods,summary,-2.62271733113674,0.9655063026495284,-2.7164165826152735,0.00659928230208793,-4.515074911176244,-0.7303597510972355,"Other
heterogeneity
dimensions",Correction effects,0,-14.280256237348867,-8.988519005926147,-11.634387621637508,**
Personality - Openness,treatmentfactcheck,mods,summary,-3.33882632015904,0.8551367434881086,-3.904435571953024,9.444554773763836e-5,-5.014863539252599,-1.6627891010654812,"Personality
traits",Correction effects,-4,-13.34563253689717,-6.598453852446859,-9.972043194672015,***
Political interest,treatmentfactcheck,mods,summary,1.6898329878546583,0.8293576536761091,2.037520218646939,0.04159793791307666,0.06432185634684195,3.315344119362475,"Other
heterogeneity
dimensions",Correction effects,0,-12.2517200369704,-8.894387533331535,-10.573053785150968,*
