congeniality,lucid_pid_3,treatment,topic_short_2,mu,se,lo,hi,cfac,traffic,ts2
"False claim
congenial to
Democrats",Republican,control,Donald Trump claimed his DNA was USA,43.67148014440434,2.2061003208636514,39.34752351551158,47.9954367732971,Agreement in control,NA,Donald Trump claimed his DNA was USA (16 Oct)
"False claim
congenial to
Democrats",Republican,control,Joe Biden has never made more than $400k,36.48514851485149,2.045432284020439,32.476101238171424,40.49419579153155,Agreement in control,NA,Joe Biden has never made more than $400k (29 Oct)
"False claim
congenial to
Democrats",Republican,control,Judge Barrett made homophobic and racist statements,34.720967741935475,2.1176104636318325,30.570451233217085,38.871484250653864,Agreement in control,NA,Judge Barrett made homophobic and racist statements (16 Oct)
"False claim
congenial to
Democrats",Republican,control,Trump chose Judge Barrett on basis of looks,35.575601374570475,2.2340966362680885,31.19677196748502,39.95443078165593,Agreement in control,NA,Trump chose Judge Barrett on basis of looks (24 Oct)
"False claim
congenial to
Democrats",Republican,control,Trump holds Bible upside down,63.67808219178083,1.9672662535441916,59.82224033483421,67.53392404872744,Agreement in control,NA,Trump holds Bible upside down (8 Oct)
"False claim
congenial to
Democrats",Republican,control,Trump responsible for all Covid deaths,49.55769230769229,2.3858373154850128,44.881451169341666,54.23393344604292,Agreement in control,NA,Trump responsible for all Covid deaths (8 Oct)
"False claim
congenial to
Democrats",Republican,control,Trump said 'Good' to children's separation,63.677165354330704,3.1597052503456466,57.484143063653235,69.87018764500817,Agreement in control,NA,Trump said 'Good' to children's separation (2 Nov)
"False claim
congenial to
Democrats",Republican,control,USPS fails to deliver 27% of mail ballots in South FL,52.27862595419848,2.0995439696758567,48.1635197736338,56.39373213476316,Agreement in control,NA,USPS fails to deliver 27% of mail ballots in South FL (12 Nov)
"False claim
congenial to
Republicans",Democrat,control,Antifa start West Coast wildfires (Lucid),22.57585139318888,1.6918859435228804,19.259754943884037,25.891947842493725,Agreement in control,NA,Antifa start West Coast wildfires (Lucid) (25 Sep)
"False claim
congenial to
Republicans",Democrat,control,Antifa start West Coast wildfires (MTurk),32.0016891891892,2.1980391178863603,27.693532518131935,36.30984586024647,Agreement in control,NA,Antifa start West Coast wildfires (MTurk) (25 Sep)
"False claim
congenial to
Republicans",Democrat,control,Biden and Obama plotted to have Seal Team 6 murdered,23.422222222222224,2.247913793236342,19.016311187478994,27.828133256965454,Agreement in control,NA,Biden and Obama plotted to have Seal Team 6 murdered (29 Oct)
"False claim
congenial to
Republicans",Democrat,control,Biden wears wire at debate,33.60237388724037,1.8739563486592157,29.929419443868305,37.27532833061243,Agreement in control,NA,Biden wears wire at debate (8 Oct)
"False claim
congenial to
Republicans",Democrat,control,GOP voters' pens invisible to voting machines,32.050408719346066,1.7573351780802084,28.606031770308856,35.49478566838327,Agreement in control,NA,GOP voters' pens invisible to voting machines (12 Nov)
"False claim
congenial to
Republicans",Democrat,control,Hunter Biden's laptop had photos torturing children,15.501068376068387,1.2017471538824087,13.145643954458865,17.85649279767791,Agreement in control,NA,Hunter Biden's laptop had photos torturing children (24 Oct)
"False claim
congenial to
Republicans",Democrat,control,Kamala Harris imprisoned prolife activists,32.01971326164875,1.7992719819427707,28.493140177040917,35.54628634625658,Agreement in control,NA,Kamala Harris imprisoned prolife activists (29 Oct)
"False claim
congenial to
Republicans",Democrat,control,Obama failed to nominate US judges,35.35828025477707,1.959960578136981,31.516757521628588,39.19980298792555,Agreement in control,NA,Obama failed to nominate US judges (16 Oct)
"False claim
congenial to
Republicans",Democrat,control,Presidential winner must be announced election night,31.628787878787882,3.2298353122461276,25.298310666785472,37.959265090790296,Agreement in control,NA,Presidential winner must be announced election night (2 Nov)
"False claim
congenial to
Republicans",Democrat,control,SARS-CoV-2 man made virus created in the lab (Lucid),35.11059190031152,2.1167648381294026,30.96173281757789,39.25945098304515,Agreement in control,NA,SARS-CoV-2 man made virus created in the lab (Lucid) (25 Sep)
"False claim
congenial to
Republicans",Democrat,control,SARS-CoV-2 man made virus created in the lab (MTurk),41.372013651877104,2.3631595393586227,36.740220954734205,46.00380634902,Agreement in control,NA,SARS-CoV-2 man made virus created in the lab (MTurk) (25 Sep)
"False claim
congenial to
Republicans",Democrat,control,Sen Coon's daughter's photo on Hunter Biden's laptop,34.5187969924812,2.6331505088315548,29.357821995171353,39.67977198979105,Agreement in control,NA,Sen Coon's daughter's photo on Hunter Biden's laptop (2 Nov)
