fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
1,Panel 1 (Lucid),control,0.0064435159251266,0.0122082700343626,0.527799262875907,0.5976891860715474,-0.01749675417298055,0.03038378602323375,2318,race_asian,FALSE
1,Panel 1 (Lucid),factcheck,-2.921029955162682e-4,0.01174122480037396,-0.02487840923605896,0.9801540902488513,-0.02331650303027702,0.02273229703924448,2318,race_asian,FALSE
1,Panel 1 (Lucid),control,-0.00208661758778845,0.01574713711195604,-0.13250774238856294,0.894594200356744,-0.03296656328615843,0.02879332811058153,2318,race_black,FALSE
1,Panel 1 (Lucid),factcheck,-0.02214627544338826,0.01488490004727647,-1.487835012196835,0.1369304267606528,-0.05133538467115871,0.00704283378438217,2318,race_black,FALSE
1,Panel 1 (Lucid),control,0.03283149074966859,0.01529414138485196,2.146671063351516,0.03192295969607933,0.00283986420132027,0.0628231172980169,2318,race_hispanic,TRUE
1,Panel 1 (Lucid),factcheck,0.02753233012182305,0.01491442799264413,1.8460198497322275,0.06501675063054047,-0.00171468305020437,0.05677934329385047,2318,race_hispanic,FALSE
1,Panel 1 (Lucid),control,0.00491979191644003,0.00785644259088723,0.6262111457603671,0.5312381149701801,-0.01048659712203219,0.02032618095491227,2318,race_other,FALSE
1,Panel 1 (Lucid),factcheck,0.01640807437591381,0.00859129808994221,1.9098481049240577,0.05627608115352196,-4.393574213553443e-4,0.03325550617318296,2318,race_other,FALSE
1,Panel 1 (Lucid),control,-0.04210818100344641,0.02318916044549787,-1.8158562101639877,0.06952157241688786,-0.0875818445815757,0.00336548257468288,2318,race_white,FALSE
1,Panel 1 (Lucid),factcheck,-0.02150202605883221,0.02267638744406659,-0.9482121485121452,0.34312030493329204,-0.06597014797391434,0.02296609585624991,2318,race_white,FALSE
1,Panel 1 (MTurk),control,0.00773957125568077,0.0100109185583358,0.773112997631596,0.4395442086060928,-0.01189300368563931,0.02737214619700085,2060,race_asian,FALSE
1,Panel 1 (MTurk),factcheck,0.00890576690415367,0.01006849702706598,0.8845180050421949,0.3765198711329746,-0.01083972610714815,0.0286512599154555,2060,race_asian,FALSE
1,Panel 1 (MTurk),control,-0.0055878096463241,0.01807376603873772,-0.3091668683963088,0.7572258609288387,-0.04103256570539157,0.02985694641274337,2060,race_black,FALSE
1,Panel 1 (MTurk),factcheck,0.02402036564054365,0.01888001356378687,1.272264215244862,0.20342284903063723,-0.0130055355316864,0.06104626681277372,2060,race_black,FALSE
1,Panel 1 (MTurk),control,-0.0082854458822433,0.02355378673361276,-0.35176704179033086,0.7250489554163491,-0.05447715951020786,0.03790626774572125,2060,race_hispanic,FALSE
1,Panel 1 (MTurk),factcheck,-0.03046444414571849,0.02315233128081689,-1.315826202390259,0.18837879338601168,-0.07586885696640061,0.01493996867496361,2060,race_hispanic,FALSE
1,Panel 1 (MTurk),control,0.01331045455699516,0.006930757615107,1.9204905576242213,0.05493387655179443,-2.815667431294473e-4,0.02690247585711977,2060,race_other,FALSE
1,Panel 1 (MTurk),factcheck,0.00732625352870002,0.00627985844772869,1.1666271763418172,0.2434959984921125,-0.00498927884502561,0.01964178590242567,2060,race_other,FALSE
1,Panel 1 (MTurk),control,-0.00717677028410832,0.02677336322543493,-0.2680563597363191,0.7886827743695957,-0.05968244764943434,0.04532890708121769,2060,race_white,FALSE
1,Panel 1 (MTurk),factcheck,-0.00978794192767828,0.0267324416819698,-0.36614470328312537,0.7142946994250291,-0.06221336738963379,0.04263748353427721,2060,race_white,FALSE
1,Panel 2 (MTurk),control,-0.01295426808597214,0.01178495752518804,-1.0992206003530285,0.27180086512015117,-0.03606599927366333,0.01015746310171904,2051,race_asian,FALSE
1,Panel 2 (MTurk),factcheck,-0.00374487004103967,0.01231570867636593,-0.30407263921613725,0.761103396710021,-0.027897468614749302,0.02040772853266996,2051,race_asian,FALSE
1,Panel 2 (MTurk),control,-0.00697081158044575,0.01658747310834522,-0.420245539203841,0.6743501122043856,-0.03950085835776869,0.02555923519687719,2051,race_black,FALSE
1,Panel 2 (MTurk),factcheck,-0.00459986320109417,0.0167062025204366,-0.2753386471561801,0.7830838102772784,-0.03736275275705791,0.02816302635486955,2051,race_black,FALSE
1,Panel 2 (MTurk),control,0.02093362261848249,0.02120518474478704,0.9871935977180624,0.32366418231276106,-0.02065231679278644,0.06251956202975142,2051,race_hispanic,FALSE
1,Panel 2 (MTurk),factcheck,0.00653214774281798,0.02094638375325319,0.3118508578743802,0.7551855681876611,-0.03454625153225153,0.04761054701788751,2051,race_hispanic,FALSE
1,Panel 2 (MTurk),control,-0.00140687504237592,0.00692668756120947,-0.2031093549324559,0.8390697071838974,-0.01499094953680166,0.01217719945204982,2051,race_other,FALSE
1,Panel 2 (MTurk),factcheck,-0.00420656634746923,0.00664680131736007,-0.6328707819929187,0.5268885814849193,-0.01724174996832548,0.00882861727338701,2051,race_other,FALSE
1,Panel 2 (MTurk),control,3.9833209031097327e-4,0.025966940432482,0.01533997011880153,0.987762446667206,-0.05052598781153248,0.05132265199215443,2051,race_white,FALSE
1,Panel 2 (MTurk),factcheck,0.00601915184678483,0.02597979275175249,0.23168590697779184,0.8168050902363068,-0.04493037301209671,0.05696867670566638,2051,race_white,FALSE
1,Panel 3 (Lucid),control,-0.01015009842519679,0.00992325689947525,-1.0228595841082715,0.30647802062154483,-0.02960920392403298,0.00930900707363938,2384,race_asian,FALSE
1,Panel 3 (Lucid),factcheck,-0.00693127674056782,0.0098567930963753,-0.7031979542227278,0.4820010585119958,-0.02626004940921756,0.01239749592808192,2384,race_asian,FALSE
