fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
1,Panel 1 (Lucid),control,0.1212935619265803,0.13311516924109754,0.9111926358061718,0.36228862876406887,-0.1397436773233054,0.382330801176466,2318,extraversion_pre,FALSE
1,Panel 1 (Lucid),factcheck,0.16601465018986022,0.13050619586342835,1.2720825175502828,0.20347140113138712,-0.08990642377498781,0.42193572415470826,2318,extraversion_pre,FALSE
1,Panel 1 (Lucid),control,-0.06611037969920153,0.10067202831507643,-0.6566906498823465,0.5114450351470528,-0.26352701140897467,0.1313062520105716,2318,agreeableness_pre,FALSE
1,Panel 1 (Lucid),factcheck,-0.16837617342197594,0.10303289096530276,-1.6341982821648486,0.10235301545574484,-0.3704224282767046,0.03367008143275268,2318,agreeableness_pre,FALSE
1,Panel 1 (Lucid),control,-0.13869737328776538,0.1039135474879821,-1.3347381226091444,0.182093154042922,-0.34247058494777927,0.06507583837224853,2318,conscientiousness_pre,FALSE
1,Panel 1 (Lucid),factcheck,-0.23384145780698704,0.10473247114146914,-2.2327503138078524,0.02566055992048667,-0.4392205688613481,-0.02846234675262607,2318,conscientiousness_pre,TRUE
1,Panel 1 (Lucid),control,-0.0780101978641072,0.1238530775260111,-0.6298607949223048,0.5288477438903633,-0.3208845871189906,0.16486419139077615,2318,emotional_stability_pre,FALSE
1,Panel 1 (Lucid),factcheck,0.07361633195451646,0.11840978473996232,0.6217081816015797,0.534194909359681,-0.15858382588557252,0.30581648979460546,2318,emotional_stability_pre,FALSE
1,Panel 1 (Lucid),control,0.12338881474772208,0.10335246571128064,1.1938642576018823,0.23265323293197504,-0.07928412232436492,0.32606175181980906,2318,openness_to_experience_pre,FALSE
1,Panel 1 (Lucid),factcheck,-0.00210101149797929,0.10290428483860334,-0.02041714299141729,0.983712365801358,-0.20389507129142653,0.1996930482954679,2318,openness_to_experience_pre,FALSE
1,Panel 1 (MTurk),control,0.04007245523611611,0.13351567575095327,0.3001329619966366,0.7641060202718952,-0.22176730449691423,0.3019122149691465,2060,extraversion_pre,FALSE
1,Panel 1 (MTurk),factcheck,0.14156625665127617,0.1329139303931957,1.06509721165031,0.28695676288870886,-0.11909341048955847,0.40222592379211086,2060,extraversion_pre,FALSE
1,Panel 1 (MTurk),control,0.22364314313700148,0.12100789432435952,1.8481698602037484,0.06472101793529406,-0.01366740333989041,0.4609536896138934,2060,agreeableness_pre,FALSE
