fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-10.627188242647236,2.780390291082301,-3.822192976551674,1.5021987330989748e-4,-16.090843447614667,-5.163533037679805,466,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-1.065676176022349,3.321678881533294,-0.32082456312888097,0.7485752126231007,-7.603425927335685,5.472073575290988,289,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-16.93886703285348,4.879951033188608,-3.4711141398042797,6.716355158919707e-4,-26.578659503993347,-7.2990745617136135,155,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-4.36521296134655,6.493952820806717,-0.6721965930150193,0.5027952352164424,-17.227304776978883,8.496878854285786,116,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-19.182401387354048,2.4998156903128255,-7.6735262770326775,1.0169095371541145e-13,-24.094931935559124,-14.269870839148973,458,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-13.124963634261595,3.610516978488172,-3.6352034106089146,3.2834762117321653e-4,-20.23100101607721,-6.018926252445979,291,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-9.649508939105596,4.398562898140969,-2.1937867350229125,0.029810701596544385,-18.3416080216968,-0.9574098565143938,148,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-13.664842333542838,5.448677708490264,-2.507918996979752,0.013539356320288793,-24.45762422756512,-2.8720604395205545,115,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-0.9009989129226439,2.0319820981735535,-0.4434088832438566,0.6576753593908993,-4.893959074268974,3.0919612484236856,467,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-2.978937420162024,3.4319687302340727,-0.867996667311957,0.386065434732048,-9.731751622618509,3.7738767822944603,311,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-29.178934285930527,4.6546441098807385,-6.268778793203623,3.095853827770332e-9,-38.369690019206026,-19.98817855265503,164,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-17.688580214216895,4.828312468187578,-3.663511906232681,3.9180269138676843e-4,-27.262231922794292,-8.114928505639499,105,outcome_w1
