fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,0.6132075471698089,2.5314769347958777,0.2422331164630003,0.8086582438828239,-4.355504588896849,5.5819196832364675,846,outcome_w2
1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-2.991680598678455,4.344526126506056,-0.6886091858042103,0.49157607494019206,-11.539637986623658,5.556276789266748,315,outcome_w2
2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-6.411312984220528,2.4742618015346105,-2.591202345784121,0.009730659635527916,-11.26779967109059,-1.5548262973504663,837,outcome_w2
2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-3.3334922836830176,4.1676730595156455,-0.7998449581048533,0.424429317321236,-11.534848661438112,4.867864094072075,302,outcome_w2
3,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-0.4119584990269947,2.2551731257817935,-0.18267267125408937,0.8550975160154022,-4.838188520576698,4.014271522522708,868,outcome_w2
3,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-29.46130655355952,4.054453161152544,-7.26640693147992,3.0322893911992917e-12,-37.43913599479904,-21.483477112320003,309,outcome_w2
