fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,4.084004174120449,4.402465614626234,0.9276629351861907,0.35437292876557414,-4.581729560242073,12.74973790848297,283,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,3.080294257713608,3.0668398506783157,1.004387058891359,0.3155441745113547,-2.941163624331841,9.101752139759057,690,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-3.511376792234402,2.8491972558787118,-1.2324091584004666,0.2181908923591592,-9.1049242841843,2.082170699715496,734,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-6.116097397270477,3.177005918040057,-1.9251136305857401,0.05482740991000834,-12.35923449979755,0.12703970525659614,463,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-7.992890961055482,2.1345415205812284,-3.744546959610814,1.9052407046555767e-4,-12.181338917582915,-3.80444300452805,1051,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,2.2843360379972304,3.7684732774090115,0.6061701569415958,0.5447980910789316,-5.127587659662801,9.69625973565726,347,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-11.389149326973158,4.05936434397896,-2.8056484616528885,0.005279814582699643,-19.370778653566816,-3.4075200003795008,380,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-4.320521119922321,4.077997831156491,-1.059471166686975,0.290115854081974,-12.340984535994782,3.69994229615014,350,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-1.098703677610262,4.082211797413709,-0.269144212043664,0.7880100953990499,-9.133222705712278,6.935815350491755,290,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,5.358184531837219,3.2104327983460266,1.6689913380518933,0.09558977279239879,-0.9456213038954404,11.661990367569878,665,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-18.99991450068395,2.7239709884343184,-6.975079610375992,6.964540255064358e-12,-24.347839686012968,-13.65198931535493,716,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-7.3474207892165815,3.4419593979736707,-2.1346622489335902,0.03333313861693281,-14.11189394479287,-0.582947633640293,446,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-14.538598330207073,2.1445452812780625,-6.779338471949939,2.01895099245227e-11,-18.746722508235685,-10.330474152178459,1041,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-7.332246338073357,3.9695936717988314,-1.8471024856180636,0.06574730993901065,-15.145000353769124,0.4805076776224082,291,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-9.623524623524622,3.7810725227824262,-2.545183824308886,0.011328321104616443,-17.058677372313245,-2.188371874736,369,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-4.004902298059719,4.070517858061096,-0.9838802918229594,0.32587604385389524,-12.011555813475129,4.001751217355691,339,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,3.0111075848936806,4.898606276774791,0.614686589361122,0.5392736905926757,-6.632737540869476,12.654952710656838,273,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-2.7372469137970334,3.134457863523598,-0.8732760282570715,0.38282412203194205,-8.891739710076646,3.4172458824825798,673,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-6.885143072616786,3.077914780223737,-2.236950521455405,0.02558623511719253,-12.927614807317081,-0.8426713379164896,741,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-16.324670109007496,3.144102709810115,-5.192155478277429,3.1348831725512825e-7,-22.50336168802093,-10.14597852999406,457,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-0.9716213736723057,1.977554968914929,-0.49132458462352013,0.6232964465761295,-4.851894413689121,2.9086516663445092,1083,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-2.4258241758241788,3.758529206199405,-0.6454184716252752,0.5190991574229583,-9.819196769735584,4.967548418087226,334,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-26.809763033175326,3.5908650924642367,-7.466101438741906,5.597904099122161e-13,-33.86998179314473,-19.74954427320592,384,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-11.581145864762474,3.91565994164277,-2.957648528565465,0.0033143648102495382,-19.28279489555967,-3.879496833965278,344,outcome_w1
