name,type2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
grp_agree,treatmentcontrol,mods,summary,0.6092988640816586,0.7911478369803303,0.7701453958431376,0.4412136502243769,-0.9413224028465543,2.1599201310098715
grp_agree,treatmentfactcheck,mods,summary,-2.5860529270096966,0.9130347995078816,-2.832370604497833,0.004620426242225119,-4.375568250676893,-0.7965376033425002
grp_conscientiousness,treatmentcontrol,mods,summary,0.9334120946820832,0.7439393247224362,1.2546884721147646,0.20959187219166633,-0.5246821884569395,2.3915063778211056
grp_conscientiousness,treatmentfactcheck,mods,summary,-2.502401475386589,0.9598361170516354,-2.6071132674954027,0.009130915027247399,-4.383645695868566,-0.6211572549046127
grp_crt,treatmentcontrol,mods,summary,0.17729257211826122,0.7979283768656115,0.22219108538875934,0.8241651335134039,-1.38661830878084,1.7412034530173623
grp_crt,treatmentfactcheck,mods,summary,-2.232463485785429,0.895917469747559,-2.491818232336139,0.012709105888555264,-3.9884294596108973,-0.4764975119599604
grp_emotstab,treatmentcontrol,mods,summary,1.149206551773779,0.7409339629879426,1.5510242601640336,0.12089587021523027,-0.30299733060512124,2.6014104341526796
grp_emotstab,treatmentfactcheck,mods,summary,-2.561509723363432,0.9221587182588876,-2.7777319377295218,0.005473975708740652,-4.36890759918047,-0.7541118475463939
grp_extraversion,treatmentcontrol,mods,summary,0.12095450350035128,0.8489926805995839,0.14246825239403668,0.8867101544655178,-1.5430405736129502,1.7849495806136526
grp_extraversion,treatmentfactcheck,mods,summary,2.7446055083431142,0.9508158980326149,2.8865793199526086,0.003894545661900864,0.8810405922710811,4.608170424415148
grp_nfc,treatmentcontrol,mods,summary,-0.08865239678667174,0.876890316722982,-0.10109861529543822,0.9194721772495893,-1.807325835955637,1.6300210423822936
grp_nfc,treatmentfactcheck,mods,summary,-2.62271733113674,0.9655063026495284,-2.7164165826152735,0.006599282302087933,-4.515074911176244,-0.7303597510972355
grp_openness,treatmentcontrol,mods,summary,1.3723144187156084,0.8635342081668588,1.5891836197535318,0.1120189434784741,-0.32018152870974803,3.064810366140965
grp_openness,treatmentfactcheck,mods,summary,-3.3388263201590402,0.8551367434881086,-3.9044355719530244,9.444554773763836e-5,-5.014863539252599,-1.6627891010654812
grp_pk,treatmentcontrol,mods,summary,0.23730933131023754,0.7975017133439241,0.29756592034793217,0.7660344884825974,-1.3257653044528395,1.8003839670733144
grp_pk,treatmentfactcheck,mods,summary,-1.6413761038309598,0.9882110098715726,-1.6609571108140884,0.09672206083770138,-3.5782340923051974,0.2954818846432776
grp_polint,treatmentcontrol,mods,summary,-0.16912420280365037,0.8289938879744309,-0.20401139894636566,0.8383445911715447,-1.7939223666373665,1.4556739610300657
grp_polint,treatmentfactcheck,mods,summary,1.6898329878546585,0.8293576536761091,2.0375202186469394,0.041597937913076664,0.06432185634684195,3.315344119362475
