lucid_pid_3,target,ty2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Democrat,w1_ft_amy_coney_barrett,treatmentcontrol,overall,summary,-1.676444504356696,1.4880492768550087,-1.1266055032128106,0.2599093113342947,-4.592967494213384,1.2400784854999918
Democrat,w1_ft_amy_coney_barrett,treatmentfactcheck,overall,summary,0.985804312136197,0.8182099804792436,1.2048304660849891,0.22826875613699998,-0.6178577813943407,2.5894664056667347
Democrat,w1_ft_anthony_fauci,treatmentcontrol,overall,summary,1.0061701257045756,0.7223928887260209,1.3928294995802233,0.16367135555241838,-0.4096939188862758,2.422034170295427
Democrat,w1_ft_anthony_fauci,treatmentfactcheck,overall,summary,-0.5913188952531993,0.7181771776091668,-0.8233607439625379,0.4103028797902926,-1.9989202978857912,0.8162825073793928
Democrat,w1_ft_antifa,treatmentcontrol,overall,summary,-0.25234043539120926,1.6731518877296758,-0.1508174106856573,0.8801197516253089,-3.5316578760065767,3.0269770052241585
Democrat,w1_ft_antifa,treatmentfactcheck,overall,summary,-0.036820612310239906,1.01808740282857,-0.036166455068533956,0.9711496334587877,-2.032235254968158,1.9585940303476785
Democrat,w1_ft_barack_obama,treatmentcontrol,overall,summary,1.148203208355956,1.0513208424300104,1.0921529965124754,0.2747658584948901,-0.9123477790031729,3.208754195715085
Democrat,w1_ft_barack_obama,treatmentfactcheck,overall,summary,-0.3195935219379337,1.8060791523911957,-0.17695432756355187,0.8595442646675099,-3.8594436138533035,3.2202565699774364
Democrat,w1_ft_black_lives_matter_protestors,treatmentcontrol,overall,summary,1.097362607761447,1.0466984616252584,1.048403764783909,0.29445261973919096,-0.9541286796975386,3.1488538952204324
Democrat,w1_ft_black_lives_matter_protestors,treatmentfactcheck,overall,summary,-2.2383832626634432,0.83734139613348,-2.673202678142314,0.00751308429548646,-3.87954224184955,-0.5972242834773365
Democrat,w1_ft_chris_coons,treatmentcontrol,overall,summary,-1.564010179950085,2.1580688266535115,-0.7247267374578478,0.4686196887657192,-5.793747356349579,2.6657269964494095
Democrat,w1_ft_chris_coons,treatmentfactcheck,overall,summary,0.3192690183384175,1.6692994593546622,0.19125928337737816,0.8483224593399434,-2.952497801408903,3.5910358380857383
Democrat,w1_ft_donald_trump,treatmentcontrol,overall,summary,-0.3364128520385639,0.4132672115607166,-0.8140322837809711,0.4156264566666933,-1.1464017026888633,0.47357599861173544
Democrat,w1_ft_donald_trump,treatmentfactcheck,overall,summary,-0.0019647212054568035,0.41084268288962406,-0.004782174022519078,0.9961843917236758,-0.8072015829809299,0.8032721405700164
Democrat,w1_ft_hunter_biden,treatmentcontrol,overall,summary,0.15509409283957593,0.6887104465751341,0.22519491843174197,0.8218276424365619,-1.1947535782241836,1.5049417639033353
Democrat,w1_ft_hunter_biden,treatmentfactcheck,overall,summary,0.550100108527596,1.2433695726083913,0.44242687021331367,0.658180338453398,-1.88685947325781,2.987059690313002
Democrat,w1_ft_joe_biden,treatmentcontrol,overall,summary,-0.23740547708512982,0.3609530127963823,-0.6577185081401522,0.5107190272442796,-0.9448603822772642,0.47004942810700456
Democrat,w1_ft_joe_biden,treatmentfactcheck,overall,summary,0.31798947624330143,0.3763454169724694,0.8449404772918043,0.39814407323394957,-0.41963398676944763,1.0556129392560505
Democrat,w1_ft_kamala_harris,treatmentcontrol,overall,summary,-1.4450581758323089,1.3245101354968185,-1.0910133015254528,0.2752670296764356,-4.0410503385643395,1.1509339868997215
Democrat,w1_ft_kamala_harris,treatmentfactcheck,overall,summary,2.772537232683063,3.464386151160613,0.8002968236535144,0.42353884297598915,-4.017534852131072,9.562609317497198
Democrat,w1_ft_politifact,treatmentcontrol,overall,summary,-0.15665695221336112,0.44407846447164395,-0.3527686315519681,0.7242619021663027,-1.027034748887633,0.7137208444609107
Democrat,w1_ft_politifact,treatmentfactcheck,overall,summary,2.069374916631929,0.46787441650506534,4.4229281269315255,9.737214100706146e-6,1.1523579109943085,2.986391922269549
Democrat,w1_ft_scientists,treatmentcontrol,overall,summary,-0.786962513750388,0.7493305534867771,-1.0502207738474059,0.2936166205873516,-2.2556234110999354,0.6816983835991592
Democrat,w1_ft_scientists,treatmentfactcheck,overall,summary,-0.28792246608553673,0.6139596540706539,-0.46895991320693997,0.6390982897730326,-1.4912612760246882,0.9154163438536148
Democrat,w1_ft_the_u.s._postal_service,treatmentcontrol,overall,summary,-0.5528930955638175,1.9243719570668962,-0.28731092943514425,0.7738742548155996,-4.324592824273792,3.218806633146157
Democrat,w1_ft_the_u.s._postal_service,treatmentfactcheck,overall,summary,0.7469862980399069,1.439371131321503,0.5189671251458895,0.6037836666339078,-2.07412927973691,3.5681018758167244
Democrat,w1_ft_the_world_health_organization_(who),treatmentcontrol,overall,summary,0.7041964068687205,0.8069596955206636,0.8726537530655252,0.38285183226615754,-0.8774155333271876,2.285808347064629
Democrat,w1_ft_the_world_health_organization_(who),treatmentfactcheck,overall,summary,0.5447748498814615,0.8015694480479584,0.6796352470869964,0.49673544591731783,-1.0262723994001863,2.1158220991631094
Independent,w1_ft_amy_coney_barrett,treatmentcontrol,overall,summary,0.26235864346233734,2.3749156022160633,0.11047072292485982,0.9120360674545789,-4.3923904032033985,4.9171076901280735
Independent,w1_ft_amy_coney_barrett,treatmentfactcheck,overall,summary,-0.5449451014289214,2.483404392263025,-0.21943470146331473,0.8263114408078911,-5.412328269313029,4.322438066455186
Independent,w1_ft_anthony_fauci,treatmentcontrol,overall,summary,-0.756905790026516,2.1118250396733953,-0.3584131146316815,0.7200341786378553,-4.89600680943624,3.382195229383208
Independent,w1_ft_anthony_fauci,treatmentfactcheck,overall,summary,-0.4520158261921869,2.1898404580928452,-0.20641495800376808,0.8364667876166868,-4.744024255942856,3.839992603558482
Independent,w1_ft_antifa,treatmentcontrol,overall,summary,1.7081855316025163,3.208793915496578,0.5323450419651414,0.5944870415445394,-4.580934976582037,7.997306039787069
Independent,w1_ft_antifa,treatmentfactcheck,overall,summary,-0.2148381119996706,1.9184298867380045,-0.11198642884206199,0.9108341670949932,-3.9748915968714136,3.545215372872072
Independent,w1_ft_barack_obama,treatmentcontrol,overall,summary,4.043129736289645,3.2001324624201324,1.2634257437056176,0.20643621721405733,-2.22901463581129,10.315274108390579
Independent,w1_ft_barack_obama,treatmentfactcheck,overall,summary,1.125974917978318,5.063419830089356,0.22237439433467787,0.8240224431778952,-8.798145587602736,11.050095423559373
Independent,w1_ft_black_lives_matter_protestors,treatmentcontrol,overall,summary,-0.8639588168076665,2.382450214737346,-0.36263457320677484,0.7168778801305982,-5.533475432652581,3.805557799037248
