fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-2.200328703119359,3.084953559546275,-0.7132453246534369,0.47605098606027263,-8.26247135509098,3.8618139488522623,466,outcome_w2
1,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,3.653139406663097,3.7827601758689653,0.9657338125655581,0.3349848225813242,-3.79211351545247,11.098392328778663,289,outcome_w2
1,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-8.90482622043944,4.452047816798138,-2.000164101301969,0.047240583743104164,-17.699793517212406,-0.10985892366647754,154,outcome_w2
1,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-0.221530305275176,6.780073495746212,-0.03267373213788363,0.9739929283738482,-13.655376832536584,13.212316221986233,112,outcome_w2
2,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-7.729901338607927,2.9361912006579867,-2.632628739189632,0.00875898813041925,-13.4999783184825,-1.9598243587333553,458,outcome_w2
2,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-5.505955921367141,3.887499376393606,-1.4163232937865988,0.15775408142187547,-13.15724626626243,2.145334423528147,290,outcome_w2
2,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-3.807206965117042,4.356721312184492,-0.8738697502797306,0.3836341903913205,-12.418090464310684,4.8036765340766,145,outcome_w2
2,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,0.19874547202148396,5.607015577844181,0.035445856938014574,0.9717873161942424,-10.910837159491358,11.308328103534325,112,outcome_w2
3,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-0.18543172241333683,2.058557922839841,-0.09007845752405565,0.9282634882327065,-4.230614887713684,3.8597514428870108,467,outcome_w2
3,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-2.4373227865967557,3.6588576323538557,-0.6661431057181503,0.5058134491457555,-9.63656838777689,4.76192281458338,311,outcome_w2
3,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-30.978741742242754,4.791536705632369,-6.465304065359193,1.1522864094440874e-9,-40.44110720045124,-21.51637628403427,161,outcome_w2
3,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-16.09208237071928,5.815422797676382,-2.767138853111257,0.006694836397928691,-27.624284010880523,-4.559880730558037,104,outcome_w2
