name,value,fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,type2
grp_agree,low,1,panel_1_lucid,Panel 1 (Lucid),treatmentcontrol,8.556886252966123,3.6740894140248948,-2.3289814941090987,0.02023504310268939,1.3393211814728287,15.774451324459417,530,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-6.470154212025623,3.6462410645821937,-1.774472421714939,0.07655901393113396,-13.633012592530633,0.6927041684793886,530,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_1_mturk,Panel 1 (MTurk),treatmentcontrol,4.938210777134792,1.8395178489963566,-2.684513651133685,0.0073461147287457425,1.32981625559388,8.546605298675704,1453,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-2.441145566971021,1.8332494729578763,-1.3315948554630308,0.18320221314052326,-6.037244054652543,1.1549529207105014,1453,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_2_mturk,Panel 2 (MTurk),treatmentcontrol,1.192192891999924,3.1096378018623563,-0.3833864160275907,0.7015704464338042,-4.915029148807164,7.299414932807012,594,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-5.214089448492474,3.086125816046091,-1.6895258843246725,0.09164343495974538,-11.275134755175014,0.8469558581900669,594,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_3_lucid,Panel 3 (Lucid),treatmentcontrol,-3.3253340430091485,3.600222059484159,0.9236469273469213,0.3560796685712754,-10.397373832479783,3.7467057464614864,544,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-1.9862113459266977,3.635858543729339,-0.5462839992365103,0.5850947009565544,-9.128253104824426,5.155830412971031,544,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_4_mturk,Panel 4 (MTurk),treatmentcontrol,9.026272939953813,3.3487910836811112,-2.6953825169743975,0.007236155105596692,2.4489424057539217,15.603603474153704,576,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-17.734462105725683,3.4322821885725596,-5.166959221701177,3.284640220778898e-7,-24.475776770262236,-10.99314744118913,576,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_5_lucid,Panel 5 (Lucid),treatmentcontrol,11.937405536885121,3.500904192276568,-3.4098064046484136,7.015038629915298e-4,5.0594688670098655,18.815342206760377,511,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-10.87563687150125,3.451883261496754,-3.150638665221117,0.001724610734893157,-17.65726617651182,-4.094007566490683,511,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_6_mturk,Panel 6 (MTurk),treatmentcontrol,0.06427740717307875,3.340887296427078,-0.019239621534620586,0.9846572735832423,-6.498900754710207,6.627455569056365,524,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-5.368272277060184,3.2664341037746243,-1.6434656590367822,0.10088646607549974,-11.785187029033874,1.0486424749135068,524,outcome_w1,treatmentfactcheck
grp_agree,low,1,panel_7_lucid,Panel 7 (Lucid),treatmentcontrol,7.88302504270203,3.5538079236194777,-2.218191081827894,0.026932395176070042,0.9029715622095722,14.863078523194488,574,outcome_w1,treatmentcontrol
grp_agree,low,1,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-13.035002793085207,3.8282785703687314,-3.4049253609644463,7.080442149524172e-4,-20.554145564364074,-5.51586002180634,574,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_1_lucid,Panel 1 (Lucid),treatmentcontrol,1.2925664213897885,3.5446530589996237,-0.3646524497251018,0.7155154890571593,-5.670637696351204,8.255770539130781,533,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-9.406452767500836,3.451525363121091,-2.7253030987420925,0.006635429576425012,-16.186714536689347,-2.6261909983123237,533,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_1_mturk,Panel 1 (MTurk),treatmentcontrol,3.257380298986026,1.8309834043261546,-1.7790332185915247,0.07544361332752364,-0.3342772002336436,6.849037798205696,1451,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-4.525561750418979,1.809516240631443,-2.500978796874326,0.012494568669051733,-8.075109256020513,-0.9760142448174456,1451,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_2_mturk,Panel 2 (MTurk),treatmentcontrol,5.072583285563374,2.9258841304428835,-1.7336924701784242,0.08349241773901779,-0.6737726282317267,10.818939199358475,593,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-9.253492381856077,3.0147374656682686,-3.0694189750300134,0.0022427802956069697,-15.174353800848857,-3.3326309628632966,593,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_3_lucid,Panel 3 (Lucid),treatmentcontrol,4.515176790088591,3.3229748417148834,-1.3587754964038337,0.17477572148177895,-2.01212422080914,11.042477800986322,549,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-14.338599432408307,3.4291736968607753,-4.181356997324028,3.3723528695861195e-5,-21.074506264165105,-7.602692600651509,549,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_4_mturk,Panel 4 (MTurk),treatmentcontrol,-6.948407971059974,3.3380433104915914,2.0815811314433446,0.03782251692094958,-13.504652908673686,-0.3921630334462627,575,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-6.954107127518626,3.2495286879233745,-2.1400356160458083,0.03277204868193366,-13.33650065215226,-0.5717136028849934,575,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_5_lucid,Panel 5 (Lucid),treatmentcontrol,8.429322059251334,3.761091631648491,-2.241190293881979,0.02544235380510118,1.0402166649519504,15.818427453550717,511,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-7.967517595376127,3.136692479516977,-2.540101603011799,0.011377006931278317,-14.129917661789436,-1.8051175289628176,511,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_6_mturk,Panel 6 (MTurk),treatmentcontrol,-4.3468866359461344,3.022081629037392,1.4383749909927899,0.15092352475990134,-10.283744401750877,1.5899711298586068,525,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-1.5830040048749248,3.2538262916539127,-0.4865053825815291,0.6268119132005521,-7.975122504446453,4.809114494696603,525,outcome_w1,treatmentfactcheck
grp_agree,low,2,panel_7_lucid,Panel 7 (Lucid),treatmentcontrol,13.675923481050607,3.519137553364117,-3.8861576945115766,1.1378809593173451e-4,6.763889530903652,20.58795743119756,571,outcome_w1,treatmentcontrol
grp_agree,low,2,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-11.752737979112013,3.575060521987266,-3.2874235014569844,0.0010732114479603447,-18.77461175559559,-4.730864202628434,571,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_1_lucid,Panel 1 (Lucid),treatmentcontrol,10.384447227289673,3.6346698529811996,-2.8570537758119148,0.004443564366100442,3.244350689473393,17.524543765105953,531,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-13.689916934860454,3.501095696133934,-3.910180732842427,1.0418152096388322e-4,-20.567614846825027,-6.8122190228958805,531,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_1_mturk,Panel 1 (MTurk),treatmentcontrol,1.9090700157722418,1.8337497465483377,-1.0410744537882988,0.29801418808313873,-1.6880098075805148,5.506149839124999,1453,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,0.35561364956921176,1.8143495539182404,0.1960006266715442,0.8446370825905658,-3.203410794847442,3.9146380939858654,1453,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_2_mturk,Panel 2 (MTurk),treatmentcontrol,0.8642784286611251,3.3027617336565185,-0.2616835540553131,0.7936567486466429,-5.62232217981458,7.3508790371368296,590,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-4.499558701860399,3.086877854309743,-1.4576406693832547,0.14547166195408523,-10.562164903212903,1.5630474994921055,590,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_3_lucid,Panel 3 (Lucid),treatmentcontrol,4.185077029458871,3.4074078790841913,-1.22822895819085,0.21989214934576873,-2.5082112460126202,10.878365304930362,544,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,-15.80516281405409,3.716443081690636,-4.2527660094996556,2.4855397987920694e-5,-23.10549954739016,-8.504826080718018,544,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_4_mturk,Panel 4 (MTurk),treatmentcontrol,9.77564627516214,2.8826015497414135,-3.39125824588524,7.434066388182118e-4,4.113954423604531,15.43733812671975,576,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-3.3048113091086146,3.1914967684444013,-1.0355051403418607,0.3008676002453546,-9.573201489428552,2.963578871211323,576,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_5_lucid,Panel 5 (Lucid),treatmentcontrol,8.240690661720823,3.530782639234117,-2.3339558119919723,0.019985522874527144,1.3040219902846335,15.177359333157012,510,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-10.528059831004132,3.9267010983410993,-2.6811462261418084,0.007574693871482996,-18.24256034663632,-2.8135593153719425,510,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_6_mturk,Panel 6 (MTurk),treatmentcontrol,-5.258127958962133,3.206076520688511,1.6400506740971172,0.10159362107890506,-11.556442374670567,1.0401864567463006,525,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-18.828448462966755,3.548312685872323,-5.306310387450518,1.65274732960724e-7,-25.799083379712723,-11.857813546220786,525,outcome_w1,treatmentfactcheck
grp_agree,low,3,panel_7_lucid,Panel 7 (Lucid),treatmentcontrol,2.334090130483103,3.4401011486468365,-0.6784946225785301,0.4977325316780893,-4.422681173082747,9.090861434048954,572,outcome_w1,treatmentcontrol
grp_agree,low,3,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-8.087601288293174,3.6688384957123175,-2.2044037364263804,0.02789337208435336,-15.293640179038476,-0.8815623975478717,572,outcome_w1,treatmentfactcheck
grp_agree,high,1,panel_1_lucid,Panel 1 (Lucid),treatmentcontrol,5.174500469470377,3.173266366360066,-1.630654307600988,0.10348981807302352,-1.0576007813154007,11.406601720256155,598,outcome_w1,treatmentcontrol
grp_agree,high,1,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,1.3255172933981056,3.13792848487821,0.4224179422143688,0.6728718200647004,-4.83718251737058,7.48821710416679,598,outcome_w1,treatmentfactcheck
grp_agree,high,1,panel_1_mturk,Panel 1 (MTurk),treatmentcontrol,6.9460938308307245,3.441012087914323,-2.018619421660013,0.04411682344775887,0.18372666910611102,13.708460992555338,452,outcome_w1,treatmentcontrol
grp_agree,high,1,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-10.74693718234718,3.4497466851950835,-3.1152829941017655,0.0019546212226835944,-17.526469803626487,-3.967404561067873,452,outcome_w1,treatmentfactcheck
