name,value,fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,type2
grp_agree,low,1,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,-5.448240179562385,9.565005553250346,-0.5696013608388323,0.5713545811905155,-24.63321176318744,13.736731404062672,53,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,4.615171108316498,2.87085967099554,1.607592023721618,0.10865683827445508,-1.0274556900612772,10.257797906694273,431,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-4.8343123116829805,NA,NA,NA,NA,NA,202,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,8.789701535997953,6.79109313048872,1.2942984828961406,0.19815538413872893,-4.66214694921306,22.241550021208965,115,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,1.5282281544619654,4.369065091441644,0.34978379183581854,0.72681828042631,-7.079887110690702,10.136343419614633,232,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-1.4736360354688849,6.651537957426518,-0.22154816598822133,0.825131374312553,-14.675097642225394,11.727825571287623,97,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-6.396143807586304,4.204303880717008,-1.5213324224545577,0.12948196652867425,-14.677845220327013,1.8855576051544052,242,outcome_w2,treatmentfactcheck
grp_agree,low,1,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,-2.4306601577931963,9.008929163552825,-0.26980566876103884,0.7880410028634915,-20.37349761507037,15.512177299483978,76,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,5.946407140348461,7.848239182247869,0.7576740466573432,0.45161169861100403,-9.752408602548929,21.64522288324585,60,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_1_mturk,Panel 1 (MTurk),treatmentfactcheck,-0.2690707457546415,2.960797942552221,-0.0908777805765095,0.9276319250589053,-6.08846971673726,5.550328225227977,431,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_2_mturk,Panel 2 (MTurk),treatmentfactcheck,-10.696400619545338,3.986432009419009,-2.6832015682876915,0.007912103135965801,-18.557959604904063,-2.8348416341866116,197,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_3_lucid,Panel 3 (Lucid),treatmentfactcheck,3.5783160112410335,6.97550833694422,0.5129828305543387,0.6091929252483268,-10.275645650542414,17.43227767302448,92,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-4.038489116482449,4.508471166115342,-0.8957557823225814,0.37131568186219777,-12.921469708840615,4.844491475875717,231,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_5_lucid,Panel 5 (Lucid),treatmentfactcheck,-1.2772142837037141,7.383747243693938,-0.17297643615774014,0.8631486658654277,-15.993001318682872,13.438572751275444,73,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,1.7934523776326647,3.6235885161248085,0.4949381999782484,0.6211203571486019,-5.346550482495892,8.93345523776122,228,outcome_w2,treatmentfactcheck
grp_agree,low,2,panel_7_lucid,Panel 7 (Lucid),treatmentfactcheck,4.493684763495927,9.74032924855389,0.46134834345184866,0.645849327189192,-14.901788665217047,23.889158192208903,77,outcome_w2,treatmentfactcheck
grp_agree,low,3,panel_1_lucid,Panel 1 (Lucid),treatmentfactcheck,12.884340951155465,NA,NA,NA,NA,NA,48,outcome_w2,treatmentfactcheck
