fc,panel,panel_factor,target,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_antifa,Democrat,treatmentcontrol,0.07999042867664025,2.3516232672595248,-0.03401498436858786,0.9728732443788031,-4.5357256283993435,4.695706485752624,844,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_antifa,Democrat,treatmentfactcheck,1.5804320085977577,2.397321028793362,0.6592492159438624,0.5099155738526753,-3.124978641409333,6.285842658604848,844,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_antifa,Independent,treatmentcontrol,3.1724712619438966,3.714617610305356,-0.8540505631434583,0.3939011713572633,-4.143749145844275,10.488691669732068,248,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_antifa,Independent,treatmentfactcheck,-2.201503781034935,3.715128970065176,-0.5925780232055613,0.5540035096023515,-9.518731350556294,5.115723788486423,248,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_antifa,Republican,treatmentcontrol,0.670313600421564,2.1975020541969092,-0.3050343453110146,0.7604191378034562,-3.6432210241067065,4.983848224949835,802,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_antifa,Republican,treatmentfactcheck,0.19753147499671725,2.1054082173734687,0.09382098605235853,0.9252747939872068,-3.935229733149586,4.33029268314302,802,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_donald_trump,Democrat,treatmentcontrol,2.1330243178596784,1.9413830275016548,-1.098713797145247,0.27219653331380195,-1.6773113122587122,5.9433599479780685,871,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_donald_trump,Democrat,treatmentfactcheck,3.5883070783904096,2.142174277622596,1.675077100810278,0.09427805198187512,-0.6161197968422489,7.792733953623069,871,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_donald_trump,Independent,treatmentcontrol,-7.256307119946358,4.831118458719357,1.5019932096365685,0.13431705749151596,-16.769579187543805,2.2569649476510865,259,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_donald_trump,Independent,treatmentfactcheck,7.451859935883523,4.74908156106629,1.5691160153944357,0.11784178283507937,-1.8998678985050033,16.80358777027205,259,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_donald_trump,Republican,treatmentcontrol,1.4182755810951493,2.398157859865341,-0.5914020944287575,0.554414627739077,-3.2890009847284443,6.125552146918743,817,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_donald_trump,Republican,treatmentfactcheck,2.0866683390052034,2.274893752372613,0.917259690404838,0.3592772604512673,-2.37865657954849,6.551993257558896,817,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_joe_biden,Democrat,treatmentcontrol,-1.0019830470323379,1.8735950152919805,0.5347916912963121,0.5929307141362945,-4.679283510132201,2.675317416067525,869,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_joe_biden,Democrat,treatmentfactcheck,-1.1187108774402854,1.9398047766048292,-0.5767131264612746,0.5642826163554893,-4.925961080985806,2.688539326105235,869,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_joe_biden,Independent,treatmentcontrol,2.6140483524226044,4.8576545800398865,-0.5381297309948169,0.5909496187415226,-6.951477731278575,12.179574436123783,259,thermometer
1,panel_1_lucid,Panel 1 (Lucid),w1_ft_joe_biden,Independent,treatmentfactcheck,-7.032283480855088,4.672693784099344,-1.504974176734021,0.133549223122539,-16.233591135913517,2.169024174203341,259,thermometer
