term2,lucid_pid_3,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
treatmentcontrol,Democrat,treatmentcontrol,summary,-1.6037335495909828,0.46470327270707323,-3.4510915755953797,5.58324091851928e-4,-2.5145352275947412,-0.6929318715872245,META
treatmentcontrol,Independent,treatmentcontrol,summary,-3.5527682553976994,1.1534558104664299,-3.0801078144129725,0.0020692567471521906,-5.8135001016703605,-1.2920364091250387,META
treatmentcontrol,Republican,treatmentcontrol,summary,0.9099100852036933,0.7026607147853104,1.2949494201930807,0.19533767846476885,-0.46727960912668565,2.2870997795340724,META
treatmentfactcheck,Democrat,treatmentfactcheck,summary,1.4922125002827882,0.4870445107344114,3.063811350697065,0.0021853666962285754,0.5376228003754104,2.4468022001901657,META
treatmentfactcheck,Independent,treatmentfactcheck,summary,1.8144922293152375,1.1481188293802065,1.5804045564645621,0.11401424876743521,-0.4357793262422538,4.064763784872729,META
treatmentfactcheck,Republican,treatmentfactcheck,summary,0.6855553775886333,0.629350384671692,1.0893063614257759,0.2760188084317764,-0.5479487100243116,1.919059465201578,META
