term2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
treatmentcontrol,treatmentcontrol,summary,-0.73605668201380825,0.31233674598953565,-2.3566125070614286,0.018442480068584836,-1.348225455201733,-0.12388790882588341,META
treatmentfactcheck,treatmentfactcheck,summary,0.7971782184117906,0.35819895317425043,2.2255180015112805,0.02604648403003453,0.09512117089031069,1.4992352659332706,META
