fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentcontrol,13.293372120717212,3.1127375730408327,-4.270636958235744,2.155609994205089e-5,7.184330326192711,19.402413915241713,903,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,-6.558287073750961,3.1280433760744564,-2.0966100163167476,0.036305816746175654,-12.697367953883255,-0.41920619361866684,903,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentcontrol,4.242378557314785,3.09615141079472,-1.3702103012545668,0.1709843241046371,-1.8346505703184386,10.319407684948008,847,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,2.5486260159741128,3.189823550660675,0.7989865193158544,0.42452221453795014,-3.712259857304191,8.809511889252416,847,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentcontrol,8.228233271918397,3.038927627832769,-2.707610802099428,0.006907609975603657,2.263887663020867,14.192578880815926,885,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,-9.477267148658889,3.0390674515446263,-3.1184787109091654,0.0018766784348827972,-15.441887182302239,-3.5126471150155387,885,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentcontrol,4.517155758024532,2.857930762403669,-1.5805686468854017,0.11427446600649464,-1.090676745000441,10.124988261049506,1062,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,-1.3641595033428824,2.8077491110195067,-0.48585519909488983,0.6271700601490444,-6.873525556659013,4.145206549973247,1062,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentcontrol,0.255597127252395,2.6872926320757777,-0.0951132467679789,0.9242444000728569,-5.0179393663950815,5.529133620899872,976,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-6.8411359976577595,2.842359938135521,-2.4068506967999563,0.01627562162844399,-12.418976193744218,-1.2632958015713003,976,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentcontrol,-1.7248390257558757,2.9134586577199393,0.592024541410767,0.5539815341129537,-7.442734849051826,3.993056797540074,908,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,-5.320965630114583,3.033316825575084,-1.7541740398666683,0.07973801197964131,-11.274092701861877,0.6321614416327108,908,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentcontrol,-0.20070422535210017,3.0794975279437753,0.0651743420901894,0.9480497115810294,-6.2445635465436595,5.8431550958394585,897,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-8.445821454406195,2.84902124386335,-2.9644641901488358,0.00311234752902762,-14.037345215912087,-2.8542976929003023,897,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentcontrol,-4.016550566939565,3.1438168652474663,1.277603225346716,0.20173333434084437,-10.186982307618875,2.1538811737397445,862,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-10.620390103780577,3.080965500432993,-3.447098028941904,5.940610866222955e-4,-16.66746222364886,-4.573317983912295,862,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentcontrol,9.661509265893365,2.292117096120494,-4.215102833204238,2.6603775265361456e-5,5.165064052028678,14.15795447975805,1368,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-23.63852340219953,2.1964966413362554,-10.761921032494207,5.524569843198809e-26,-27.947390007192155,-19.32965679720691,1368,outcome_w1
