name,value,type2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
grp_agree,low,treatmentfactcheck,overall,summary,-1.2190706615587688,1.8843585312635605,-0.6469419918412864,0.5176694872130134,-4.912345516796139,2.4742041936786023
grp_agree,high,treatmentfactcheck,overall,summary,-3.966986021120012,1.6679742818833383,-2.3783256517845226,0.017391459137760315,-7.2361555407504135,-0.6978165014896098
grp_conscientiousness,low,treatmentfactcheck,overall,summary,-1.3041123173719587,1.5047170671709242,-0.8666827444337225,0.38611586255623076,-4.253303575949706,1.6450789412057893
grp_conscientiousness,high,treatmentfactcheck,overall,summary,-2.3650674374318905,1.7867976520918554,-1.3236347353954927,0.1856243832516474,-5.8671264831926555,1.1369916083288745
grp_crt,low,treatmentfactcheck,overall,summary,-1.4048557626135425,0.9526430283667915,-1.4746927451114855,0.14029516743932607,-3.272001788335622,0.46229026310853727
grp_crt,high,treatmentfactcheck,overall,summary,-4.058007294086023,2.3480777320209776,-1.7282252792343968,0.08394784324433853,-8.660155081747629,0.5441404935755836
grp_emotstab,low,treatmentfactcheck,overall,summary,-1.9423957703341475,1.4991697258533054,-1.2956476754015054,0.1950968959347098,-4.880714439719411,0.9959228990511164
grp_emotstab,high,treatmentfactcheck,overall,summary,-3.7779348146304677,2.0688523806174492,-1.8261016832447672,0.06783494672562937,-7.832810969970618,0.276941340709683
grp_extraversion,low,treatmentfactcheck,overall,summary,-5.62923736146457,2.154665504353836,-2.612580630306571,0.008986149265854736,-9.85230414872892,-1.406170574200222
grp_extraversion,high,treatmentfactcheck,overall,summary,-0.4614399898525797,1.6805517649203883,-0.2745764810609325,0.7836416374580915,-3.7552609232517633,2.8323809435466036
grp_nfc,low,treatmentfactcheck,overall,summary,-1.2148051229554437,1.3345469580333564,-0.9102752927822269,0.36267734513974476,-3.8304690963783083,1.4008588504674209
grp_nfc,high,treatmentfactcheck,overall,summary,-4.211716989448572,2.2361941318992065,-1.8834308387490257,0.05964200436169623,-8.594576950410826,0.17114297151368252
grp_openness,low,treatmentfactcheck,overall,summary,-0.22423408802943143,1.0518201405008214,-0.2131867221354622,0.8311813244246908,-2.2857636816249,1.8372955055660372
grp_openness,high,treatmentfactcheck,overall,summary,-4.519507352002591,2.3098778644274467,-1.9566001396021206,0.05039449860024142,-9.046784774966678,0.007770070961496955
grp_pk,low,treatmentfactcheck,overall,summary,-0.4903516783737843,1.425039652173696,-0.3440968660947941,0.730773439660511,-3.2833780731757134,2.302674716428145
grp_pk,high,treatmentfactcheck,overall,summary,-4.149120495704023,1.3223283598177018,-3.137738417919152,0.0017025674552788436,-6.740836456682639,-1.5574045347254062
grp_polint,low,treatmentfactcheck,overall,summary,-3.821489061919686,1.9490479357363297,-1.9606952665717623,0.049914581577991474,-7.641552820105028,-0.0014253037343432418
grp_polint,high,treatmentfactcheck,overall,summary,-0.021429205319466738,1.470905320644889,-0.01456871833876536,0.9883762557534822,-2.904350658451788,2.861492247812855
