fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,Panel 1 (Lucid),mostly false,treatmentcontrol,8.590218058450194,2.0347915646160923,-4.221669780742838,2.5318295133231988e-5,4.599724123797581,12.580711993102806,2033,outcome_w1
1,panel_1_lucid,Panel 1 (Lucid),mostly false,treatmentfactcheck,-2.6836302272048043,2.055771343069973,-1.3054128010157113,0.19190003406855133,-6.715268267291313,1.3480078128817041,2033,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),mostly false,treatmentcontrol,5.897018224379364,2.123620649540965,-2.776869882883294,0.005538900301856726,1.7323163256886067,10.06172012307012,2031,outcome_w1
1,panel_1_mturk,Panel 1 (MTurk),mostly false,treatmentfactcheck,-5.154272319326876,2.134150108597662,-2.4151404807760777,0.015816951493481914,-9.339623884489416,-0.9689207541643352,2031,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentcontrol,-0.7752190620232213,2.053982840161119,0.3774223653993192,0.7058995748479289,-4.803375863609295,3.252937739562853,2011,outcome_w1
1,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentfactcheck,-4.704501132892201,2.143000658313946,-2.195286835139646,0.028256938207637444,-8.907234723847427,-0.5017675419369745,2011,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,treatmentcontrol,-2.472162510502038,1.9985804139111727,1.2369592403160186,0.21624375648701064,-6.3916199962887,1.4472949752846245,2052,outcome_w1
1,panel_3_lucid,Panel 3 (Lucid),pants on fire,treatmentfactcheck,-8.630042513566304,1.904379535569645,-4.531682026810299,6.188208169256742e-6,-12.364760703794259,-4.8953243233383485,2052,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,treatmentcontrol,9.533220793486736,1.7651586067630276,-5.40077291466113,7.258017406535917e-8,6.071906398842675,12.994535188130797,2513,outcome_w1
1,panel_4_mturk,Panel 4 (MTurk),pants on fire,treatmentfactcheck,-20.800835014723646,1.696955291139699,-12.257738977173354,1.3632511419538261e-33,-24.128408952716963,-17.473261076730328,2513,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),false,treatmentcontrol,13.410015793629873,1.9668013355832543,-6.818185218311913,1.234344615993321e-11,9.55269879569365,17.267332791566094,1900,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),false,treatmentfactcheck,-13.563509188519449,2.0834308991717045,-6.510179528349993,9.578596934551633e-11,-17.649561641304345,-9.477456735734552,1900,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,treatmentcontrol,-2.7994921744921797,3.397463089671046,0.8239948751770652,0.41018805607808895,-9.468487099289836,3.869502750305477,800,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),pants on fire,treatmentfactcheck,-7.018996354522659,3.406053620342585,-2.06074159038538,0.039650464852116624,-13.704853921809056,-0.3331387872362619,800,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,treatmentcontrol,7.905523830186238,2.0285293651917384,-3.8971700217112706,1.0035121588612396e-4,3.9274027701266343,11.88364489024584,2115,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,treatmentfactcheck,-12.735420306975485,2.0676326419261812,-6.159421189593584,8.714138400891103e-10,-16.790226265643852,-8.680614348307119,2115,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),false,treatmentcontrol,8.545916442048512,1.9618077600428356,-4.356143663057951,1.389581936119521e-5,4.698554475953665,12.39327840814336,2034,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),false,treatmentfactcheck,-10.724850617715926,1.9625646615389696,-5.464711980142301,5.2055268297496696e-8,-14.573696966780204,-6.8760042686516485,2034,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),false,treatmentcontrol,3.4815228556754056,2.1913759288455137,-1.5887382944420596,0.11227521289417798,-0.8160573992355009,7.779103110586313,2030,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),false,treatmentfactcheck,-1.9594961981224213,2.2141022481395294,-0.8850070947576838,0.3762576174123985,-6.30164579404832,2.3826533978034776,2030,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentcontrol,5.078787432728685,1.7892827535798732,-2.838448770920861,0.004578960035431824,1.569740437918718,8.587834427538652,2006,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentfactcheck,-21.156119167329905,1.9715106734135213,-10.730917895919726,3.681056417101478e-26,-25.02254195038987,-17.28969638426994,2006,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),mostly false,treatmentcontrol,8.223176981727146,1.9517003200376815,-4.2133399770966795,2.624605766605267e-5,4.395669064686524,12.050684898767768,2063,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),mostly false,treatmentfactcheck,-17.672105315028148,1.96650400853785,-8.986559517957884,5.617239863704393e-19,-21.528644961148316,-13.815565668907979,2063,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),false,treatmentcontrol,-6.18623043623053,1.677113957156979,3.688616632060796,2.3027249327406318e-4,-9.474901761656438,-2.8975591108046217,2506,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),false,treatmentfactcheck,-7.308441045185753,1.757385229569107,-4.158701758849827,3.308242067205299e-5,-10.75451719734432,-3.8623648930271868,2506,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,treatmentcontrol,6.968491880833646,2.084312355677213,-3.3433049810662934,8.439031478814813e-4,2.880717542787429,11.056266218879863,1905,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,treatmentfactcheck,-9.465818027711284,1.7963354191135985,-5.269515886059961,1.522847767943477e-7,-12.988809103773033,-5.942826951649535,1905,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),false,treatmentcontrol,-8.939597041709716,2.9613872856963273,3.018719329581946,0.0026188541237467775,-14.752582094029613,-3.1266119893898185,802,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),false,treatmentfactcheck,0.44462960971937393,3.2015417496568572,0.13887984117871632,0.889579965589345,-5.839760961221235,6.729020180659982,802,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),false,treatmentcontrol,12.970023219515015,2.006983442979233,-6.462446546276377,1.2762888973322378e-10,9.034144865198197,16.905901573831834,2105,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),false,treatmentfactcheck,-10.87973134159961,2.097761300543878,-5.186353346674317,2.3499058259849652e-7,-14.993633389081314,-6.765829294117906,2105,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,treatmentcontrol,6.868924276463612,2.154503233040668,-3.188170790892452,0.0014534851132123076,2.643664954531973,11.09418359839525,2037,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,treatmentfactcheck,-11.01426858407863,2.1316461418311468,-5.167024848982228,2.610674744565886e-7,-15.19470219573785,-6.83383497241941,2037,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,treatmentcontrol,1.5769674073125153,2.0823069442250244,-0.7573174606587204,0.4489474988924549,-2.506711634564171,5.660646449189201,2032,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,treatmentfactcheck,-3.8654405301237063,2.140174245482631,-1.8061335605185782,0.0710453882849198,-8.062604995468353,0.3317239352209409,2032,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),false,treatmentcontrol,3.043420739883673,2.2391173723107545,-1.3592055412186288,0.17423424635202106,-1.347818191254385,7.4346596710217305,2006,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),false,treatmentfactcheck,-9.288298626660662,2.2815373966616272,-4.071070077681572,4.861391094337629e-5,-13.762729472922464,-4.81386778039886,2006,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),false,treatmentcontrol,0.43282651256792126,1.9619197078036428,-0.2206137747871792,0.825415121744641,-3.414734902394058,4.2803879275299,2052,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),false,treatmentfactcheck,-15.462121108621627,1.9443616800518222,-7.95228648417383,2.9962863353455253e-15,-19.275249111333334,-11.64899310590992,2052,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),false,treatmentcontrol,2.7610762149073054,1.661199700007576,-1.662097708598619,0.09661805255004399,-0.4963861590536762,6.018538588868287,2510,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),false,treatmentfactcheck,-4.337600906530697,1.6822765023793127,-2.578411396934957,0.009982066546492484,-7.6363929837712,-1.0388088292901934,2510,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),false,treatmentcontrol,10.654244841403603,2.0273894776113224,-5.255154453083417,1.6441279278996131e-7,6.678117478473663,14.630372204333543,1912,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),false,treatmentfactcheck,-17.094867863106504,2.0958694128678736,-8.15645657985667,6.177860586739753e-16,-21.205298450647263,-12.984437275565746,1912,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),false,treatmentcontrol,-4.299529548936418,3.045825198962935,1.4116140185590276,0.15845148048631905,-10.278260003770415,1.679200905897579,802,outcome_w1
