fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-5.553319368495379,3.0359410903078876,-1.8291920703679379,0.06800969277021733,-11.519149199377994,0.4125104623872353,466,outcome_w3
1,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,0.6487851007691039,3.497888122553559,0.18547908853513362,0.8529833883205538,-6.235780812715689,7.533351014253897,289,outcome_w3
1,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,2.7139332384875914,4.9801989170098695,0.5449447469293148,0.586574749491457,-7.1238876122683035,12.551754089243486,155,outcome_w3
1,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,2.5012041957068853,6.120243273854762,0.4086772508524047,0.6835300091803526,-9.620708773865204,14.623117165278973,116,outcome_w3
2,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-6.791631576513032,2.930990082529867,-2.317179992178914,0.020934045060801727,-12.551487542179146,-1.0317756108469167,458,outcome_w3
2,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-3.603729661284714,4.04750489899914,-0.890358319807306,0.3740090193296426,-11.569824624065667,4.362365301496238,291,outcome_w3
2,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-0.9654391956704713,4.606531689917505,-0.20958049583889016,0.834283319789036,-10.068510085660957,8.137631694320014,148,outcome_w3
2,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,3.1837607460990824,5.375706205440765,0.5922497667147045,0.554846015714443,-7.464478644397067,13.832000136595232,115,outcome_w3
3,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-1.6729693586858916,2.031428199327189,-0.8235434357167931,0.41061939038354656,-5.664841077358963,2.31890235998718,467,outcome_w3
3,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-3.2198149557926343,3.6484359297561046,-0.8825192542185815,0.37817768761652715,-10.398554594696398,3.9589246831111287,311,outcome_w3
3,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-31.400260414491953,4.61440732225828,-6.804830657889286,1.8073756625300306e-10,-40.511567219385434,-22.288953609598472,164,outcome_w3
3,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-10.819778516348807,5.731536008368507,-1.887762460281337,0.061818751840339616,-22.184355656048183,0.5447986233505713,105,outcome_w3
