fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,Panel 1 (Lucid),control,-0.08239673623759308,0.11827642858318409,-0.6966454535752512,0.486094554390196,-0.31433538426478225,0.1495419117895961,2318,lucid_pid_7n
1,Panel 1 (Lucid),factcheck,0.01427572250864609,0.11906714572485665,0.11989640317434659,0.9045756040290475,-0.21921351228387204,0.2477649573011642,2318,lucid_pid_7n
1,Panel 1 (Lucid),control,-0.6913557572449115,0.8553151141856346,-0.8083053202013943,0.4189977863923501,-2.3686183665222575,0.9859068520324347,2318,lucid_age
1,Panel 1 (Lucid),factcheck,-0.3552718910910169,0.85273012239702906,-0.4166287571645126,0.6769885470138,-2.0274653626898536,1.3169215805078198,2318,lucid_age
1,Panel 1 (Lucid),control,0.006443515925126604,0.012208270034362602,0.527799262875907,0.5976891860715474,-0.01749675417298055,0.030383786023233758,2318,race_asian
1,Panel 1 (Lucid),factcheck,-2.921029955162682e-4,0.011741224800373961,-0.024878409236058968,0.9801540902488513,-0.02331650303027702,0.02273229703924448,2318,race_asian
1,Panel 1 (Lucid),control,-0.00208661758778845,0.01574713711195604,-0.13250774238856294,0.894594200356744,-0.032966563286158435,0.028793328110581537,2318,race_black
1,Panel 1 (Lucid),factcheck,-0.022146275443388264,0.014884900047276476,-1.487835012196835,0.1369304267606528,-0.05133538467115871,0.007042833784382179,2318,race_black
1,Panel 1 (Lucid),control,0.03283149074966859,0.015294141384851963,2.146671063351516,0.03192295969607933,0.002839864201320274,0.0628231172980169,2318,race_hispanic
1,Panel 1 (Lucid),factcheck,0.027532330121823052,0.014914427992644134,1.8460198497322275,0.06501675063054047,-0.00171468305020437,0.056779343293850475,2318,race_hispanic
1,Panel 1 (Lucid),control,0.004919791916440039,0.00785644259088723,0.6262111457603671,0.5312381149701801,-0.010486597122032197,0.020326180954912274,2318,race_other
1,Panel 1 (Lucid),factcheck,0.01640807437591381,0.008591298089942212,1.9098481049240574,0.056276081153521965,-4.393574213553443e-4,0.03325550617318296,2318,race_other
1,Panel 1 (Lucid),control,-0.04210818100344641,0.02318916044549787,-1.8158562101639877,0.06952157241688786,-0.0875818445815757,0.0033654825746828806,2318,race_white
1,Panel 1 (Lucid),factcheck,-0.021502026058832217,0.022676387444066595,-0.9482121485121451,0.34312030493329204,-0.06597014797391434,0.02296609585624991,2318,race_white
1,Panel 1 (Lucid),control,-0.4189713842590508,0.3605324406480874,-1.1620906665317396,0.24531827395738515,-1.1259711462196438,0.2880283777015422,2318,lucid_hhin
1,Panel 1 (Lucid),factcheck,-0.09217796861840459,0.35496367067927675,-0.259682824560632,0.7951315035425396,-0.7882574399241951,0.603901502687386,2318,lucid_hhin
1,Panel 1 (Lucid),control,-0.09363203355169938,0.0448267589967691,-2.0887531386877187,0.036838792481415,-0.18153676657159262,-0.005727300531806159,2318,political_knowledge_pre
1,Panel 1 (Lucid),factcheck,-0.10479499372553995,0.045098446612198216,-2.323694086997556,0.020227972615425402,-0.19323250287811833,-0.016357484572961573,2318,political_knowledge_pre
1,Panel 1 (Lucid),control,-0.08336777017616732,0.059650224902084624,-1.3976103244038873,0.16236385599111897,-0.20034114081338572,0.03360560046105106,2318,political_interest_pre
1,Panel 1 (Lucid),factcheck,0.03773970702069457,0.05835245382995011,0.6467544129450852,0.5178549341701485,-0.07668875021724933,0.15216816425863847,2318,political_interest_pre
1,Panel 1 (Lucid),control,-0.013692309256407187,0.043171404725116345,-0.3171615411541438,0.7511495933350839,-0.09835091254130299,0.07096629402848861,2318,cognitive_reflection_pre
1,Panel 1 (Lucid),factcheck,0.0018765086147334005,0.043604340163988904,0.04303490449978497,0.9656774163618325,-0.08363107583723017,0.08738409306669698,2318,cognitive_reflection_pre
1,Panel 1 (Lucid),control,-0.04679560268517704,0.22704527204711522,-0.2061069242413745,0.8367254901225589,-0.4920286391438064,0.39843743377345237,2318,need_for_cognition_pre
1,Panel 1 (Lucid),factcheck,-0.054567755665496244,0.22748528099280563,-0.23987378623947975,0.8104493125208578,-0.5006636443526364,0.39152813302164396,2318,need_for_cognition_pre
1,Panel 1 (Lucid),control,0.1212935619265803,0.13311516924109754,0.9111926358061718,0.36228862876406887,-0.1397436773233054,0.382330801176466,2318,extraversion_pre
1,Panel 1 (Lucid),factcheck,0.16601465018986022,0.13050619586342835,1.2720825175502828,0.20347140113138712,-0.08990642377498781,0.42193572415470826,2318,extraversion_pre
1,Panel 1 (Lucid),control,-0.06611037969920153,0.10067202831507643,-0.6566906498823465,0.5114450351470528,-0.26352701140897467,0.1313062520105716,2318,agreeableness_pre
1,Panel 1 (Lucid),factcheck,-0.16837617342197594,0.10303289096530277,-1.6341982821648486,0.10235301545574484,-0.3704224282767046,0.033670081432752685,2318,agreeableness_pre
1,Panel 1 (Lucid),control,-0.13869737328776538,0.1039135474879821,-1.3347381226091444,0.18209315404292198,-0.34247058494777927,0.06507583837224853,2318,conscientiousness_pre
1,Panel 1 (Lucid),factcheck,-0.23384145780698706,0.10473247114146914,-2.2327503138078524,0.025660559920486672,-0.4392205688613481,-0.028462346752626072,2318,conscientiousness_pre
1,Panel 1 (Lucid),control,-0.0780101978641072,0.1238530775260111,-0.6298607949223048,0.5288477438903633,-0.3208845871189906,0.16486419139077615,2318,emotional_stability_pre
1,Panel 1 (Lucid),factcheck,0.07361633195451646,0.11840978473996232,0.6217081816015797,0.534194909359681,-0.15858382588557252,0.30581648979460546,2318,emotional_stability_pre
1,Panel 1 (Lucid),control,0.12338881474772208,0.10335246571128064,1.1938642576018825,0.23265323293197504,-0.07928412232436492,0.32606175181980906,2318,openness_to_experience_pre
1,Panel 1 (Lucid),factcheck,-0.0021010114979792996,0.10290428483860334,-0.020417142991417298,0.983712365801358,-0.20389507129142653,0.1996930482954679,2318,openness_to_experience_pre
1,Panel 1 (MTurk),control,-4.697060740183521e-4,0.13805485314926894,-0.003402314828515968,0.9972856801949479,-0.2712113203097182,0.27027190816168145,2060,lucid_pid_7n
1,Panel 1 (MTurk),factcheck,0.04824237128646277,0.138494934907367,0.34833310921247707,0.7276256245704351,-0.22336229443105873,0.31984703700398426,2060,lucid_pid_7n
1,Panel 1 (MTurk),control,0.05994784504323022,0.7197084764321309,0.08329462137282935,0.9336253697695709,-1.3514841346617372,1.4713798247481977,2060,lucid_age
1,Panel 1 (MTurk),factcheck,-0.9568189084528362,0.7359831302230837,-1.3000554892648355,0.1937273919182106,-2.4001673759738864,0.48652955906821393,2060,lucid_age
1,Panel 1 (MTurk),control,0.0077395712556807715,0.010010918558335807,0.773112997631596,0.4395442086060928,-0.011893003685639312,0.027372146197000857,2060,race_asian
1,Panel 1 (MTurk),factcheck,0.008905766904153676,0.010068497027065986,0.8845180050421949,0.3765198711329746,-0.01083972610714815,0.0286512599154555,2060,race_asian
1,Panel 1 (MTurk),control,-0.0055878096463241,0.01807376603873772,-0.3091668683963088,0.7572258609288387,-0.04103256570539157,0.029856946412743373,2060,race_black
1,Panel 1 (MTurk),factcheck,0.024020365640543658,0.018880013563786876,1.272264215244862,0.20342284903063723,-0.013005535531686405,0.061046266812773725,2060,race_black
1,Panel 1 (MTurk),control,-0.008285445882243303,0.023553786733612768,-0.35176704179033086,0.7250489554163491,-0.05447715951020786,0.037906267745721256,2060,race_hispanic
1,Panel 1 (MTurk),factcheck,-0.030464444145718493,0.023152331280816892,-1.315826202390259,0.18837879338601168,-0.07586885696640061,0.014939968674963618,2060,race_hispanic
1,Panel 1 (MTurk),control,0.013310454556995163,0.006930757615107001,1.9204905576242213,0.054933876551794436,-2.815667431294473e-4,0.026902475857119773,2060,race_other
1,Panel 1 (MTurk),factcheck,0.007326253528700029,0.00627985844772869,1.1666271763418172,0.2434959984921125,-0.004989278845025618,0.019641785902425674,2060,race_other
1,Panel 1 (MTurk),control,-0.0071767702841083235,0.026773363225434936,-0.2680563597363191,0.7886827743695957,-0.059682447649434346,0.045328907081217694,2060,race_white
1,Panel 1 (MTurk),factcheck,-0.009787941927678286,0.026732441681969803,-0.36614470328312537,0.7142946994250291,-0.06221336738963379,0.04263748353427721,2060,race_white
1,Panel 1 (MTurk),control,0.41665256137915746,0.3048468217178684,1.3667603914360757,0.17184956303614324,-0.1811874907722822,1.0144926135305972,2060,lucid_hhin
1,Panel 1 (MTurk),factcheck,-0.04985549132947917,0.30622969640879155,-0.16280423457993495,0.8706885422917753,-0.650407521492307,0.5506965388333486,2060,lucid_hhin
1,Panel 1 (MTurk),control,-0.054487399058604565,0.04961878810856862,-1.098120311592116,0.27228028936770526,-0.1517956101245924,0.042820812007383253,2060,political_knowledge_pre
1,Panel 1 (MTurk),factcheck,-0.029358899537374663,0.04811039167628089,-0.6102402935091676,0.5417699536464295,-0.1237089698667714,0.06499117079202207,2060,political_knowledge_pre
1,Panel 1 (MTurk),control,0.024869032405487653,0.04845320860517128,0.5132587319064242,0.6078253855464186,-0.0701533417697924,0.11989140658076772,2060,political_interest_pre
1,Panel 1 (MTurk),factcheck,0.05167025137787372,0.04872705726256761,1.0604016388563462,0.289086226316536,-0.04388917184616087,0.1472296746019083,2060,political_interest_pre
1,Panel 1 (MTurk),control,0.009241230362044597,0.06471580041068613,0.14279712687473226,0.8864643713592636,-0.11767397667381403,0.13615643739790323,2060,cognitive_reflection_pre
1,Panel 1 (MTurk),factcheck,0.0694112842422728,0.06517072227015673,1.0650685127370136,0.2869697457048238,-0.05839607743918171,0.19721864592372731,2060,cognitive_reflection_pre
1,Panel 1 (MTurk),control,0.03906309066321839,0.26628179276293124,0.14669831631333494,0.8833845020182444,-0.48314645698855757,0.5612726383149944,2060,need_for_cognition_pre
1,Panel 1 (MTurk),factcheck,0.40554579466372287,0.2565787574997171,1.5805899078148355,0.11412535392133283,-0.09763497297618273,0.9087265623036285,2060,need_for_cognition_pre
1,Panel 1 (MTurk),control,0.04007245523611611,0.13351567575095327,0.3001329619966366,0.7641060202718952,-0.22176730449691426,0.3019122149691465,2060,extraversion_pre
1,Panel 1 (MTurk),factcheck,0.14156625665127617,0.1329139303931957,1.0650972116503101,0.28695676288870886,-0.11909341048955849,0.40222592379211086,2060,extraversion_pre
1,Panel 1 (MTurk),control,0.22364314313700148,0.12100789432435952,1.8481698602037484,0.06472101793529406,-0.013667403339890416,0.4609536896138934,2060,agreeableness_pre
1,Panel 1 (MTurk),factcheck,0.10511298994943981,0.11907526008667838,0.8827441558634849,0.37747751594265555,-0.12840743614196137,0.33863341604084096,2060,agreeableness_pre
1,Panel 1 (MTurk),control,0.13247514472768523,0.12065954896632915,1.0979250781440706,0.27236551823304445,-0.10415225601116673,0.3691025454665372,2060,conscientiousness_pre
1,Panel 1 (MTurk),factcheck,0.25547655743506925,0.1237894329816148,2.0637993993640205,0.03916172324172788,0.012711090331011532,0.49824202453912697,2060,conscientiousness_pre
1,Panel 1 (MTurk),control,0.04186647658419392,0.12658456162056614,0.33073919953752,0.7408751257825656,-0.2063805626808069,0.29011351584919476,2060,emotional_stability_pre
1,Panel 1 (MTurk),factcheck,0.17617179006704034,0.12581352798102122,1.4002611078008684,0.161585735029708,-0.07056316260746076,0.42290674274154144,2060,emotional_stability_pre
1,Panel 1 (MTurk),control,0.08329945243274404,0.11950375902508487,0.697044621125757,0.48585352143389904,-0.15106130988470073,0.3176602147501888,2060,openness_to_experience_pre
1,Panel 1 (MTurk),factcheck,0.15268315633821722,0.11745027711232611,1.2999812353971323,0.19375283616581981,-0.07765048925582635,0.3830168019322608,2060,openness_to_experience_pre
1,Panel 2 (MTurk),control,0.05355447826971721,0.13158077711928778,0.4070083749480069,0.6840443074869015,-0.20449138602371064,0.31160034256314506,2051,lucid_pid_7n
1,Panel 2 (MTurk),factcheck,0.3205198358413146,0.13185860772133984,2.4307843179921735,0.015151378932806093,0.061929112037225176,0.579110559645404,2051,lucid_pid_7n
1,Panel 2 (MTurk),control,0.6267061486443065,0.6623559606273779,0.9461772610164115,0.3441696375717449,-0.6722542319821531,1.925666529270766,2051,lucid_age
1,Panel 2 (MTurk),factcheck,0.14594999906666967,0.6683799382896151,0.21836382378584832,0.8271673740151788,-1.1648241324462667,1.4567241305796061,2051,lucid_age
1,Panel 2 (MTurk),control,-0.012954268085972144,0.011784957525188048,-1.0992206003530283,0.27180086512015117,-0.03606599927366333,0.010157463101719041,2051,race_asian
1,Panel 2 (MTurk),factcheck,-0.00374487004103967,0.012315708676365934,-0.30407263921613725,0.761103396710021,-0.027897468614749305,0.020407728532669967,2051,race_asian
1,Panel 2 (MTurk),control,-0.006970811580445751,0.016587473108345224,-0.420245539203841,0.6743501122043856,-0.03950085835776869,0.02555923519687719,2051,race_black
1,Panel 2 (MTurk),factcheck,-0.0045998632010941795,0.0167062025204366,-0.2753386471561801,0.7830838102772784,-0.03736275275705791,0.02816302635486955,2051,race_black
1,Panel 2 (MTurk),control,0.02093362261848249,0.021205184744787043,0.9871935977180623,0.32366418231276106,-0.020652316792786448,0.06251956202975142,2051,race_hispanic
1,Panel 2 (MTurk),factcheck,0.006532147742817989,0.020946383753253195,0.3118508578743802,0.7551855681876611,-0.034546251532251535,0.047610547017887514,2051,race_hispanic
1,Panel 2 (MTurk),control,-0.0014068750423759234,0.006926687561209478,-0.20310935493245594,0.8390697071838974,-0.014990949536801669,0.01217719945204982,2051,race_other
1,Panel 2 (MTurk),factcheck,-0.004206566347469235,0.006646801317360078,-0.6328707819929187,0.5268885814849193,-0.01724174996832548,0.008828617273387011,2051,race_other
1,Panel 2 (MTurk),control,3.9833209031097327e-4,0.025966940432482,0.015339970118801534,0.9877624466672059,-0.05052598781153248,0.05132265199215443,2051,race_white
1,Panel 2 (MTurk),factcheck,0.006019151846784839,0.025979792751752495,0.23168590697779182,0.8168050902363068,-0.04493037301209671,0.05696867670566638,2051,race_white
1,Panel 2 (MTurk),control,-0.5294892874093219,0.3240246189994788,-1.6341020291738189,0.10239089970743921,-1.16494086850363,0.10596229368498622,2051,lucid_hhin
1,Panel 2 (MTurk),factcheck,0.5133549931600513,0.3287592725155475,1.561492058405057,0.11856197187331727,-0.13138181777885816,1.1580918040989607,2051,lucid_hhin
1,Panel 2 (MTurk),control,-0.07280331430450683,0.04602938899556199,-1.581670230546104,0.11387905727904966,-0.16307252935474306,0.0174659007457294,2051,political_knowledge_pre
1,Panel 2 (MTurk),factcheck,-0.05117915001561909,0.04569169073461155,-1.1200975318002573,0.26280334683916984,-0.1407860978143225,0.03842779778308431,2051,political_knowledge_pre
1,Panel 2 (MTurk),control,-0.03251067869008155,0.050062599928981,-0.6494005252663929,0.5161522402201912,-0.13068950959741438,0.06566815221725127,2051,political_interest_pre
1,Panel 2 (MTurk),factcheck,-0.03560191518467863,0.05063806556971504,-0.7030662562665301,0.4820942542736134,-0.134909304015786,0.06370547364642874,2051,political_interest_pre
1,Panel 2 (MTurk),control,-0.10541484921765197,0.0665228566473036,-1.584641047159913,0.11320207640450362,-0.23587424013049824,0.02504454169519428,2051,cognitive_reflection_pre
1,Panel 2 (MTurk),factcheck,-0.05621652226782295,0.0664959121049634,-0.8454132064402019,0.39797878569658907,-0.18662307166484607,0.07419002712920017,2051,cognitive_reflection_pre
1,Panel 2 (MTurk),control,0.02383511544151877,0.28568594285495774,0.08343118041905134,0.9335168382816431,-0.536429671364366,0.5840999022474035,2051,need_for_cognition_pre
1,Panel 2 (MTurk),factcheck,-0.10978715699686574,0.2791891906175064,-0.3932357006875523,0.6941862737744079,-0.6573110246281088,0.4377367106343773,2051,need_for_cognition_pre
1,Panel 2 (MTurk),control,-0.10682407223845385,0.1584410025555983,-0.6742198705853832,0.5002475191124502,-0.41754609667908493,0.2038979522021772,2051,extraversion_pre
1,Panel 2 (MTurk),factcheck,0.05025753824387402,0.15210427095663792,0.3304150365258416,0.7411201286792009,-0.24803738690423044,0.3485524633919785,2051,extraversion_pre
1,Panel 2 (MTurk),control,-0.10468781455848757,0.12040764981157585,-0.8694448793105087,0.38470557917863324,-0.34082182093390656,0.1314461918169314,2051,agreeableness_pre
