fc,panel,topic_short_2,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
2,panel_3_lucid,Obama failed to nominate US judges,treatmentcontrol:lucid_pid_3Republican,-8.871611874337914,3.8746637504656265,-2.2896469076243826,0.022161860599777223,-16.471136243598455,-1.2720875050773728,1728,outcome_w1
2,panel_3_lucid,Obama failed to nominate US judges,treatmentfactcheck:lucid_pid_3Republican,-5.551365227599826,3.9949445338771823,-1.38959757276332,0.16483012016606052,-13.386800840663142,2.2840703854634894,1728,outcome_w1
2,panel_4_mturk,WHO: children to be vaccinated without parents' consent,treatmentcontrol:lucid_pid_3Republican,-7.939186550336283,3.22408980094807,-2.462458256591271,0.013872705775299284,-14.2616620192944,-1.616711081378165,2267,outcome_w1
2,panel_4_mturk,WHO: children to be vaccinated without parents' consent,treatmentfactcheck:lucid_pid_3Republican,1.455750711350045,3.266630850321529,0.4456428589740276,0.6558977998321758,-4.950148222118378,7.861649644818468,2267,outcome_w1
2,panel_5_lucid,Biden and Obama plotted to have Seal Team 6 murdered,treatmentcontrol:lucid_pid_3Republican,-14.81114612825934,4.1466585945268815,-3.571826758973688,3.648060469151769e-4,-22.94449071603779,-6.677801540480891,1629,outcome_w1
2,panel_5_lucid,Biden and Obama plotted to have Seal Team 6 murdered,treatmentfactcheck:lucid_pid_3Republican,-5.561503646131406,3.3041432563879103,-1.6831908348342144,0.0925297672572465,-12.042320684471036,0.9193133922082231,1629,outcome_w1
2,panel_6_mturk,Sen Coon's daughter's photo on Hunter Biden's laptop,treatmentcontrol:lucid_pid_3Republican,3.007126661866299,5.221214633758696,0.5759438890757688,0.5648356158956971,-7.2437405109454085,13.257993834678008,710,outcome_w1
2,panel_6_mturk,Sen Coon's daughter's photo on Hunter Biden's laptop,treatmentfactcheck:lucid_pid_3Republican,5.75070092440135,5.325369659482686,1.0798688714803664,0.2805672638207586,-4.70465493714844,16.20605678595114,710,outcome_w1
2,panel_7_lucid,GOP voters' pens invisible to voting machines,treatmentcontrol:lucid_pid_3Republican,-9.62247550438436,3.9465438327924134,-2.4382031245744176,0.014856040769501972,-17.362732348138415,-1.8822186606303033,1811,outcome_w1
2,panel_7_lucid,GOP voters' pens invisible to voting machines,treatmentfactcheck:lucid_pid_3Republican,-6.52743130188071,4.090716068300891,-1.5956696072020287,0.11073705478951049,-14.55044951351858,1.4955869097571606,1811,outcome_w1
3,panel_1_lucid,SARS-CoV-2 man made virus created in the lab (Lucid),treatmentcontrol:lucid_pid_3Republican,-2.9714104080613466,4.099796005696872,-0.7247703066036513,0.46869153529622576,-11.012521387939486,5.069700571816792,1720,outcome_w1
3,panel_1_lucid,SARS-CoV-2 man made virus created in the lab (Lucid),treatmentfactcheck:lucid_pid_3Republican,-1.3778552392600205,4.000169841404795,-0.34444918438166616,0.7305506140294133,-9.223565022966696,6.467854544446656,1720,outcome_w1
3,panel_1_mturk,SARS-CoV-2 man made virus created in the lab (MTurk),treatmentcontrol:lucid_pid_3Republican,3.466897925240517,3.31272909787979,1.0465383141227569,0.2954445689820895,-3.03003595908771,9.963831809568743,1916,outcome_w1
3,panel_1_mturk,SARS-CoV-2 man made virus created in the lab (MTurk),treatmentfactcheck:lucid_pid_3Republican,6.88933658912874,3.286236351479191,2.0964215145474037,0.03617566136633063,0.44436035563562903,13.33431282262185,1916,outcome_w1
3,panel_2_mturk,Trump responsible for all Covid deaths,treatmentcontrol:lucid_pid_3Republican,6.117999418636764,3.9573007815181938,1.5460031360794444,0.12227493790935103,-1.6432480837622245,13.879246921035751,1849,outcome_w1
3,panel_2_mturk,Trump responsible for all Covid deaths,treatmentfactcheck:lucid_pid_3Republican,14.962083336974954,3.843038742921606,3.8932949516923894,1.0240314720503111e-4,7.424932007861172,22.499234666088736,1849,outcome_w1
3,panel_3_lucid,Judge Barrett made homophobic and racist statements,treatmentcontrol:lucid_pid_3Republican,4.047771871777036,3.770016854967655,1.073674741385676,0.28311865302157135,-3.3465136021009227,11.442057345654995,1725,outcome_w1
3,panel_3_lucid,Judge Barrett made homophobic and racist statements,treatmentfactcheck:lucid_pid_3Republican,10.543449909193233,3.771043097901337,2.795897483924509,0.005232944155746846,3.1471516238321655,17.9397481945543,1725,outcome_w1
3,panel_4_mturk,Hunter Biden's laptop had photos torturing children,treatmentcontrol:lucid_pid_3Republican,-0.6201116937176343,3.0055870904514,-0.20631965571308786,0.8365597283039733,-6.514096789390925,5.273873401955657,2270,outcome_w1
3,panel_4_mturk,Hunter Biden's laptop had photos torturing children,treatmentfactcheck:lucid_pid_3Republican,-0.35964025369140806,2.9765100788923586,-0.12082615014199452,0.9038394304125231,-6.196605050967699,5.477324543584883,2270,outcome_w1
3,panel_5_lucid,Joe Biden has never made more than $400k,treatmentcontrol:lucid_pid_3Republican,15.34377515281719,4.146998990085729,3.6999707956282855,2.2275422670985006e-4,7.209792462322666,23.477757843311714,1637,outcome_w1
3,panel_5_lucid,Joe Biden has never made more than $400k,treatmentfactcheck:lucid_pid_3Republican,14.278407380115839,4.217703098527686,3.385351468931073,7.276777336503559e-4,6.005744647598483,22.551070112633194,1637,outcome_w1
3,panel_6_mturk,Trump said 'Good' to children's separation,treatmentcontrol:lucid_pid_3Republican,15.961782093492173,5.604663181802472,2.8479467143213464,0.004527440121007673,4.9580862382145625,26.965477948769784,710,outcome_w1
3,panel_6_mturk,Trump said 'Good' to children's separation,treatmentfactcheck:lucid_pid_3Republican,29.200538063702062,5.894589328939804,4.953786673541521,9.105749819991471e-7,17.627627067370128,40.773449060034,710,outcome_w1
3,panel_7_lucid,USPS fails to deliver 27% of mail ballots in South FL,treatmentcontrol:lucid_pid_3Republican,-0.7687829493498114,3.8920990098471004,-0.19752399602496565,0.8434395744106068,-8.402236083486189,6.864670184786567,1819,outcome_w1
3,panel_7_lucid,USPS fails to deliver 27% of mail ballots in South FL,treatmentfactcheck:lucid_pid_3Republican,2.0067862493332838,4.082599965512023,0.4915461388051035,0.623099533213894,-6.000290503677452,10.01386300234402,1819,outcome_w1
