fc,panel,topic_short_2,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_1_lucid,A black man invented the light bulb (Lucid),treatmentcontrol:lucid_pid_3Republican,9.03086369390434,3.916342521912964,2.305943273187748,0.021232368456586135,1.3495618374129315,16.71216555039575,1718,outcome_w1
1,panel_1_lucid,A black man invented the light bulb (Lucid),treatmentfactcheck:lucid_pid_3Republican,5.013773329352756,3.926393047265721,1.2769412712882298,0.2017955404909999,-2.687241082569871,12.714787741275384,1718,outcome_w1
1,panel_1_mturk,A black man invented the light bulb (MTurk),treatmentcontrol:lucid_pid_3Republican,4.382756821199804,3.301941505634418,1.3273272145254806,0.1845586821306009,-2.09302254354248,10.858536185942087,1915,outcome_w1
1,panel_1_mturk,A black man invented the light bulb (MTurk),treatmentfactcheck:lucid_pid_3Republican,6.632806195198713,3.260749861576407,2.034135237835167,0.0420755230463193,0.23781202853928463,13.02780036185814,1915,outcome_w1
1,panel_2_mturk,Biden wears wire at debate,treatmentcontrol:lucid_pid_3Republican,-2.0100688319163225,3.5139978321659084,-0.5720176641877392,0.5673794294808665,-8.901882081953449,4.881744418120803,1852,outcome_w1
1,panel_2_mturk,Biden wears wire at debate,treatmentfactcheck:lucid_pid_3Republican,3.161535237971253,3.4018525755749445,0.9293569217757547,0.352825258284314,-3.510333606230528,9.833404082173034,1852,outcome_w1
1,panel_3_lucid,Donald Trump claimed his DNA was USA,treatmentcontrol:lucid_pid_3Republican,3.7938199406119533,4.234487989015479,0.8959335698798425,0.37041310409057926,-4.511444669910016,12.099084551133924,1727,outcome_w1
1,panel_3_lucid,Donald Trump claimed his DNA was USA,treatmentfactcheck:lucid_pid_3Republican,-2.917175594802773,3.9133427253381297,-0.7454434225539796,0.45610514175530936,-10.592565613597218,4.758214423991671,1727,outcome_w1
1,panel_4_mturk,Trump chose Judge Barrett on basis of looks,treatmentcontrol:lucid_pid_3Republican,2.275770886719096,3.322240044754221,0.6850109733378574,0.4934069039403949,-4.2391721573407395,8.790713930778931,2271,outcome_w1
1,panel_4_mturk,Trump chose Judge Barrett on basis of looks,treatmentfactcheck:lucid_pid_3Republican,7.366221513782205,3.2913752993914365,2.238037550790453,0.025315189030074098,0.911804517027548,13.820638510536861,2271,outcome_w1
1,panel_5_lucid,Kamala Harris imprisoned prolife activists,treatmentcontrol:lucid_pid_3Republican,5.364161160493491,3.8807391397670714,1.382252444006184,0.16708427305125995,-2.247620763611189,12.975943084598171,1624,outcome_w1
1,panel_5_lucid,Kamala Harris imprisoned prolife activists,treatmentfactcheck:lucid_pid_3Republican,5.05764153203241,4.152338033974772,1.2180225912848066,0.22339231745452667,-3.0868614740827125,13.202144538147532,1624,outcome_w1
1,panel_6_mturk,Presidential winner must be announced election night,treatmentcontrol:lucid_pid_3Republican,-3.2794362027487676,5.5938357876692955,-0.586258933445589,0.557888377179554,-14.261927492925327,7.703055087427792,708,outcome_w1
1,panel_6_mturk,Presidential winner must be announced election night,treatmentfactcheck:lucid_pid_3Republican,0.552955705203845,5.563760778618929,0.09938524088397328,0.9208605337558329,-10.370488709539632,11.476400119947321,708,outcome_w1
1,panel_7_lucid,Wisconsin has more votes than registered voters,treatmentcontrol:lucid_pid_3Republican,4.392286213387113,3.8665252144894255,1.135977646525477,0.2561158100080151,-3.1910181698560827,11.975590596630308,1816,outcome_w1
1,panel_7_lucid,Wisconsin has more votes than registered voters,treatmentfactcheck:lucid_pid_3Republican,-12.13321680829563,4.092356087735122,-2.964848744384473,0.003067785473712904,-20.159436769727257,-4.106996846864005,1816,outcome_w1
2,panel_1_lucid,Antifa start West Coast wildfires (Lucid),treatmentcontrol:lucid_pid_3Republican,-5.7601340675151,3.7347997959072763,-1.542287239553578,0.12318829423128932,-13.085376899224178,1.5651087641939778,1715,outcome_w1
2,panel_1_lucid,Antifa start West Coast wildfires (Lucid),treatmentfactcheck:lucid_pid_3Republican,-5.964325219184579,3.679866000818147,-1.6207995665762085,0.10524446242031592,-13.181823751149347,1.2531733127801896,1715,outcome_w1
2,panel_1_mturk,Antifa start West Coast wildfires (MTurk),treatmentcontrol:lucid_pid_3Republican,-3.3124065724419927,3.1037800762371353,-1.0672169068298762,0.2860084896748142,-9.399553051992797,2.7747399071088106,1914,outcome_w1
2,panel_1_mturk,Antifa start West Coast wildfires (MTurk),treatmentfactcheck:lucid_pid_3Republican,-2.5834254666819767,3.114122282508115,-0.8295838224442763,0.40687757703437144,-8.69085512446927,3.524004191105316,1914,outcome_w1
2,panel_2_mturk,Trump holds Bible upside down,treatmentcontrol:lucid_pid_3Republican,6.4896675505708625,3.432851913155364,1.8904595114345537,0.05885277322763405,-0.24300575581884232,13.222340856960567,1849,outcome_w1
2,panel_2_mturk,Trump holds Bible upside down,treatmentfactcheck:lucid_pid_3Republican,15.87025031079242,3.658041360219098,4.338455678325593,1.5122905037321868e-5,8.695924693880213,23.044575927704628,1849,outcome_w1
