fc,panel,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-0.4657380313217552,2.3146852925002497,-0.20121008796780304,0.8405836017141968,-5.009063070577816,4.077587007934306,830,outcome_w2
1,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-3.2479662940441116,3.6126797506195008,-0.8990462809462012,0.3693514534629331,-10.35746596012099,3.861533372032767,299,outcome_w2
2,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-5.587737758430984,2.244918043723903,-2.4890609142959907,0.013005145618507368,-9.994192351259194,-1.1812831656027756,821,outcome_w2
2,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-1.167668650548536,3.347789600887304,-0.34878794361481236,0.7275051453766137,-7.757100341950314,5.421763040853242,286,outcome_w2
3,panel_4_mturk,Panel 4 (MTurk),treatmentfactcheck,-0.281908379213472,1.8342967055554782,-0.15368744781564767,0.8778925758740921,-3.882178333720706,3.3183615752937623,852,outcome_w2
3,panel_6_mturk,Panel 6 (MTurk),treatmentfactcheck,-24.915664638073192,3.734031107075883,-6.672591610406971,1.254187527112156e-10,-32.26458681202696,-17.566742464119425,293,outcome_w2
